Species	Individual_hap
belem	Bel_xsTP37350_Toe_1
belem	Bel_xsTP37350_Toe_2
belem	Bel_xsTP32151_Toe_2
belem	Bel_xsMLV157_Mus_1
belem	Bel_xsTP32151_Toe_1
belem	Bel_xsGUR156_Mus_2
belem	Bel_xsTP38597_Toe_1
belem	Bel_xsFRC041_Mus_1
belem	Bel_xsTP51965_Toe_1
belem	Bel_xsREBIO002_Mus_2
belem	Bel_xsLCA23_Mus_2
belem	Bel_xsGUR156_Mus_1
belem	Bel_xsFRC041_Mus_2
belem	Bel_xsRDP017_Mus_2
belem	Bel_xsRDP017_Mus_1
belem	Bel_xsREBIO002_Mus_1
belem	Bel_xsTP38597_Toe_2
belem	Bel_xsMLV157_Mus_2
belem	Bel_xsLCA23_Mus_1
belem	Bel_xsTP51965_Toe_2
tapajos	Tap_xsBR163-028_Mus_1
tapajos	Tap_xsBR163-028_Mus_2
tapajos	Tap_xsMPDS1294_Mus_1
tapajos	Tap_xsA08267_Mus_1
tapajos	Tap_xsTM005_Mus_1
tapajos	Tap_xsBR163-145_Mus_1
tapajos	Tap_xsMSF111_Mus_1
tapajos	Tap_xsBR163-145_Mus_2
tapajos	Tap_xsMPDS1217_Mus_1
tapajos	Tap_xsMSF111_Mus_2
tapajos	Tap_xsMPDS1294_Mus_2
tapajos	Tap_xsBR163-212_Mus_2
tapajos	Tap_xsBR163-212_Mus_1
tapajos	Tap_xsMPDS1217_Mus_2
tapajos	Tap_xsTM005_Mus_2
tapajos	Tap_xsA08267_Mus_2
tapajos	Tap_xsPIME217_Mus_2
tapajos	Tap_xsSER013_Mus_2
tapajos	Tap_xsSER013_Mus_1
tapajos	Tap_xsPIME217_Mus_1
xingu	Xin_xsUHE455_Mus_1
xingu	Xin_xsTP36276_Toe_2
xingu	Xin_xsTP36025_Toe_1
xingu	Xin_xsGAPX047_Mus_1
xingu	Xin_xsFTA012_Mus_1
xingu	Xin_xsTP36025_Toe_2
xingu	Xin_xsTP48649_Toe_2
xingu	Xin_xsUHE455_Mus_2
xingu	Xin_xsMAYA066_Mus_1
xingu	Xin_xsMAYA066_Mus_2
xingu	Xin_xsMOP011_Mus_2
xingu	Xin_xsTP81164_Toe_1
xingu	Xin_xsCOUFT0424_Mus_2
xingu	Xin_xsFTA012_Mus_2
xingu	Xin_xsMRJ498_Mus_1
xingu	Xin_xsTP81164_Toe_2
xingu	Xin_xsCOUFT0424_Mus_1
xingu	Xin_xsMRJ498_Mus_2
xingu	Xin_xsGAPTO271_Mus_2
xingu	Xin_xsGAPTO037_Mus_1
xingu	Xin_xsMOP011_Mus_1
xingu	Xin_xsTP48649_Toe_1
xingu	Xin_xsGAPTO271_Mus_1
xingu	Xin_xsTP36276_Toe_1
xingu	Xin_xsGAPX047_Mus_2
xingu	Xin_xsGAPTO037_Mus_2
