masked_positions	masked_percentage	log_file
12096	100.0	scaffold28-302_out.log
142582	100.0	scaffold12-164_out.log
30274	100.0	scaffold81-520_out.log
307616	99.0	scaffold84-526_out.log
24110	98.9	scaffold231-633_out.log
392252	98.1	scaffold70-488_out.log
392423	98.1	scaffold96-545_out.log
137597	97.8	scaffold96-546_out.log
391328	97.8	scaffold77-506_out.log
390760	97.7	scaffold70-489_out.log
228887	97.5	scaffold133-579_out.log
245901	97.0	scaffold128-575_out.log
156696	96.9	scaffold70-490_out.log
296173	96.7	scaffold120-570_out.log
384349	96.1	scaffold84-525_out.log
199671	91.9	scaffold139-582_out.log
139863	91.4	scaffold58-454_out.log
174690	90.2	scaffold68-484_out.log
85345	86.3	scaffold171-603_out.log
241870	80.9	scaffold121-571_out.log
111082	80.2	scaffold153-592_out.log
232132	79.7	scaffold24-270_out.log
92130	77.6	scaffold161-595_out.log
125287	75.9	scaffold149-589_out.log
48089	74.9	scaffold13-174_out.log
136586	74.4	scaffold147-588_out.log
291782	72.9	scaffold36-350_out.log
147025	72.0	scaffold141-584_out.log
23829	68.5	scaffold214-620_out.log
21391	67.9	scaffold220-624_out.log
268754	67.2	scaffold34-331_out.log
258380	64.6	scaffold48-416_out.log
255037	63.8	scaffold37-352_out.log
26973	63.7	scaffold203-617_out.log
20057	63.4	scaffold219-623_out.log
16140	62.9	scaffold228-630_out.log
250311	62.6	scaffold92-537_out.log
247674	61.9	scaffold1-3_out.log
243845	61.0	scaffold63-473_out.log
231861	58.0	scaffold2-38_out.log
17564	57.1	scaffold221-625_out.log
86607	57.1	scaffold94-542_out.log
15018	55.5	scaffold224-627_out.log
194141	53.7	scaffold109-561_out.log
171982	53.5	scaffold116-566_out.log
77863	53.3	scaffold74-499_out.log
212417	53.1	scaffold12-163_out.log
14112	52.8	scaffold227-629_out.log
210345	52.6	scaffold33-325_out.log
209105	52.3	scaffold73-494_out.log
6050	52.1	scaffold106-560_out.log
202583	51.7	scaffold106-559_out.log
206778	51.7	scaffold30-310_out.log
205473	51.4	scaffold38-359_out.log
72677	51.4	scaffold151-590_out.log
11881	50.1	scaffold232-634_out.log
13837	49.6	scaffold223-626_out.log
165807	49.4	scaffold112-563_out.log
197009	49.3	scaffold10-135_out.log
197222	49.3	scaffold3-53_out.log
194018	48.5	scaffold81-519_out.log
85993	47.9	scaffold25-278_out.log
15842	46.3	scaffold216-622_out.log
41382	46.3	scaffold176-607_out.log
21245	46.1	scaffold196-615_out.log
18331	45.9	scaffold205-618_out.log
166032	45.5	scaffold52-434_out.log
23721	44.9	scaffold192-613_out.log
11788	43.9	scaffold225-628_out.log
132214	42.6	scaffold118-568_out.log
169265	42.3	scaffold11-152_out.log
165923	41.5	scaffold22-247_out.log
84084	41.4	scaffold143-586_out.log
164802	41.2	scaffold94-541_out.log
83431	41.0	scaffold142-585_out.log
10192	39.9	scaffold229-631_out.log
122477	39.5	scaffold119-569_out.log
152938	38.2	scaffold15-187_out.log
14524	37.9	scaffold207-619_out.log
148517	37.1	scaffold80-515_out.log
28959	36.0	scaffold180-611_out.log
118142	35.8	scaffold115-565_out.log
26518	34.3	scaffold182-612_out.log
135911	34.0	scaffold19-227_out.log
132554	33.1	scaffold19-226_out.log
29446	32.9	scaffold175-606_out.log
125322	31.3	scaffold81-518_out.log
123525	30.9	scaffold64-475_out.log
122532	30.6	scaffold28-297_out.log
31673	30.6	scaffold167-600_out.log
27586	30.4	scaffold174-605_out.log
121158	30.3	scaffold24-268_out.log
31415	28.7	scaffold100-554_out.log
7176	28.4	scaffold230-632_out.log
17951	27.4	scaffold19-228_out.log
21912	27.0	scaffold77-508_out.log
26457	26.7	scaffold170-602_out.log
105377	26.3	scaffold15-188_out.log
64604	26.2	scaffold129-576_out.log
104157	26.0	scaffold28-298_out.log
89076	25.8	scaffold82-522_out.log
31897	25.0	scaffold157-593_out.log
25887	24.8	scaffold166-599_out.log
99256	24.8	scaffold4-58_out.log
98522	24.6	scaffold100-553_out.log
30894	24.3	scaffold158-594_out.log
62334	23.5	scaffold41-383_out.log
19730	23.4	scaffold179-610_out.log
92252	23.1	scaffold58-453_out.log
29547	22.8	scaffold46-410_out.log
91084	22.8	scaffold65-480_out.log
32770	22.3	scaffold95-544_out.log
57485	22.3	scaffold127-574_out.log
89045	22.3	scaffold41-381_out.log
87603	21.9	scaffold21-238_out.log
7489	21.8	scaffold215-621_out.log
86376	21.6	scaffold44-396_out.log
71759	21.2	scaffold65-481_out.log
84384	21.1	scaffold15-184_out.log
40885	20.9	scaffold92-538_out.log
64977	20.9	scaffold5-86_out.log
8598	20.9	scaffold63-474_out.log
48351	20.7	scaffold134-580_out.log
81574	20.4	scaffold41-382_out.log
21477	20.1	scaffold2-40_out.log
45228	20.1	scaffold1-23_out.log
34027	20.0	scaffold57-450_out.log
17278	19.9	scaffold177-608_out.log
20930	19.9	scaffold165-598_out.log
48357	19.5	scaffold55-442_out.log
43932	19.4	scaffold135-581_out.log
9918	19.4	scaffold194-614_out.log
53739	19.3	scaffold122-572_out.log
77079	19.3	scaffold82-521_out.log
77161	19.3	scaffold1-5_out.log
39490	19.2	scaffold140-583_out.log
59749	19.1	scaffold83-524_out.log
75954	19.0	scaffold74-498_out.log
74214	18.9	scaffold28-301_out.log
75098	18.8	scaffold33-326_out.log
75308	18.8	scaffold48-417_out.log
74839	18.7	scaffold1-4_out.log
50249	18.2	scaffold123-573_out.log
72870	18.2	scaffold63-472_out.log
72269	18.1	scaffold21-240_out.log
72318	18.1	scaffold32-318_out.log
24971	17.8	scaffold152-591_out.log
17248	17.6	scaffold172-604_out.log
53731	17.6	scaffold23-262_out.log
45046	17.5	scaffold11-154_out.log
68894	17.2	scaffold55-439_out.log
68330	17.1	scaffold68-482_out.log
47042	17.0	scaffold9-134_out.log
68019	17.0	scaffold23-257_out.log
67608	16.9	scaffold99-551_out.log
51897	16.8	scaffold15-192_out.log
67128	16.8	scaffold28-299_out.log
67314	16.8	scaffold101-555_out.log
66802	16.7	scaffold5-85_out.log
66938	16.7	scaffold83-523_out.log
66338	16.6	scaffold5-84_out.log
12516	16.5	scaffold50-430_out.log
59655	16.5	scaffold110-562_out.log
40762	16.3	scaffold32-323_out.log
64659	16.2	scaffold21-239_out.log
64772	16.2	scaffold13-165_out.log
64904	16.2	scaffold43-393_out.log
51687	16.1	scaffold117-567_out.log
52617	16.1	scaffold8-123_out.log
64375	16.1	scaffold26-284_out.log
9608	16.1	scaffold3-57_out.log
21508	16.0	scaffold98-550_out.log
63580	15.9	scaffold6-95_out.log
63300	15.8	scaffold29-303_out.log
11686	15.7	scaffold102-558_out.log
62284	15.6	scaffold58-452_out.log
62585	15.6	scaffold11-153_out.log
61849	15.5	scaffold58-451_out.log
62139	15.5	scaffold24-267_out.log
7309	15.5	scaffold62-470_out.log
61470	15.4	scaffold43-390_out.log
61549	15.4	scaffold77-507_out.log
61734	15.4	scaffold97-547_out.log
60988	15.2	scaffold6-96_out.log
36230	15.0	scaffold33-330_out.log
59853	15.0	scaffold9-126_out.log
59724	14.9	scaffold44-397_out.log
58807	14.7	scaffold32-317_out.log
57393	14.3	scaffold14-175_out.log
56786	14.2	scaffold28-295_out.log
33200	14.1	scaffold132-578_out.log
33450	14.1	scaffold34-337_out.log
56236	14.1	scaffold12-155_out.log
56069	14.0	scaffold59-456_out.log
25078	13.9	scaffold37-358_out.log
55525	13.9	scaffold44-398_out.log
55552	13.9	scaffold37-353_out.log
55600	13.9	scaffold95-543_out.log
55668	13.9	scaffold46-406_out.log
55168	13.8	scaffold32-322_out.log
55394	13.8	scaffold36-345_out.log
54838	13.7	scaffold59-457_out.log
15631	13.6	scaffold99-552_out.log
54268	13.6	scaffold23-261_out.log
42695	13.5	scaffold10-144_out.log
53996	13.5	scaffold27-291_out.log
53570	13.4	scaffold32-320_out.log
53717	13.4	scaffold30-311_out.log
53133	13.3	scaffold57-449_out.log
53308	13.3	scaffold2-39_out.log
53376	13.3	scaffold32-321_out.log
52928	13.2	scaffold34-332_out.log
52310	13.1	scaffold26-283_out.log
52331	13.1	scaffold40-374_out.log
51950	13.0	scaffold6-90_out.log
51625	12.9	scaffold26-285_out.log
16515	12.8	scaffold59-458_out.log
51173	12.8	scaffold1-10_out.log
51348	12.8	scaffold21-244_out.log
18960	12.7	scaffold73-496_out.log
50614	12.7	scaffold36-347_out.log
50781	12.7	scaffold3-46_out.log
50230	12.6	scaffold5-74_out.log
50407	12.6	scaffold24-269_out.log
50154	12.5	scaffold40-376_out.log
38452	12.4	scaffold30-316_out.log
49571	12.4	scaffold102-557_out.log
49629	12.4	scaffold63-471_out.log
49009	12.3	scaffold16-193_out.log
48830	12.2	scaffold17-202_out.log
48905	12.2	scaffold74-497_out.log
48278	12.1	scaffold9-133_out.log
48345	12.1	scaffold42-388_out.log
47520	11.9	scaffold53-437_out.log
47567	11.9	scaffold75-500_out.log
11782	11.8	scaffold75-502_out.log
47047	11.8	scaffold46-409_out.log
8554	11.8	scaffold78-511_out.log
46725	11.7	scaffold27-290_out.log
46786	11.7	scaffold12-162_out.log
46793	11.7	scaffold23-260_out.log
46801	11.7	scaffold1-21_out.log
46267	11.6	scaffold98-549_out.log
46387	11.6	scaffold9-127_out.log
46510	11.6	scaffold6-89_out.log
45937	11.5	scaffold65-479_out.log
21275	11.4	scaffold145-587_out.log
45579	11.4	scaffold49-421_out.log
45726	11.4	scaffold5-75_out.log
45778	11.4	scaffold3-54_out.log
45785	11.4	scaffold1-18_out.log
45007	11.3	scaffold32-319_out.log
45175	11.3	scaffold86-529_out.log
36695	11.1	scaffold114-564_out.log
44374	11.1	scaffold90-533_out.log
44193	11.0	scaffold30-312_out.log
43597	10.9	scaffold46-407_out.log
43720	10.9	scaffold6-88_out.log
43050	10.8	scaffold23-259_out.log
43305	10.8	scaffold80-516_out.log
13690	10.7	scaffold6-99_out.log
4029	10.7	scaffold80-517_out.log
42989	10.7	scaffold1-19_out.log
12348	10.6	scaffold48-420_out.log
42297	10.6	scaffold46-408_out.log
42431	10.6	scaffold55-441_out.log
42460	10.6	scaffold24-266_out.log
42544	10.6	scaffold1-16_out.log
7314	10.6	scaffold18-219_out.log
25394	10.5	scaffold17-210_out.log
41962	10.5	scaffold21-243_out.log
41986	10.5	scaffold52-433_out.log
41989	10.5	scaffold35-338_out.log
41662	10.4	scaffold21-241_out.log
41689	10.4	scaffold36-348_out.log
41721	10.4	scaffold4-59_out.log
41736	10.4	scaffold39-366_out.log
28754	10.3	scaffold40-377_out.log
41073	10.3	scaffold1-1_out.log
41200	10.3	scaffold78-509_out.log
41253	10.3	scaffold36-346_out.log
41287	10.3	scaffold44-399_out.log
41307	10.3	scaffold36-349_out.log
41319	10.3	scaffold72-491_out.log
26504	10.2	scaffold89-532_out.log
40665	10.2	scaffold76-503_out.log
40744	10.2	scaffold5-80_out.log
40776	10.2	scaffold15-186_out.log
40265	10.1	scaffold39-367_out.log
39988	10.0	scaffold1-14_out.log
33210	9.9	scaffold53-438_out.log
39433	9.9	scaffold50-429_out.log
39504	9.9	scaffold55-440_out.log
39542	9.9	scaffold23-255_out.log
39623	9.9	scaffold1-17_out.log
39139	9.8	scaffold40-375_out.log
39322	9.8	scaffold45-404_out.log
39362	9.8	scaffold5-76_out.log
39369	9.8	scaffold39-370_out.log
38777	9.7	scaffold62-467_out.log
38813	9.7	scaffold1-22_out.log
38833	9.7	scaffold7-102_out.log
38850	9.7	scaffold1-15_out.log
38910	9.7	scaffold28-300_out.log
22889	9.6	scaffold131-577_out.log
38208	9.6	scaffold9-125_out.log
38237	9.6	scaffold21-242_out.log
38282	9.6	scaffold60-459_out.log
38317	9.6	scaffold33-324_out.log
38536	9.6	scaffold56-443_out.log
37869	9.5	scaffold48-418_out.log
37891	9.5	scaffold7-101_out.log
13031	9.4	scaffold97-548_out.log
37596	9.4	scaffold9-128_out.log
25322	9.3	scaffold85-528_out.log
37141	9.3	scaffold18-211_out.log
37182	9.3	scaffold28-296_out.log
37368	9.3	scaffold6-92_out.log
36808	9.2	scaffold5-82_out.log
36864	9.2	scaffold42-385_out.log
36944	9.2	scaffold1-13_out.log
6055	9.2	scaffold60-462_out.log
36230	9.1	scaffold56-444_out.log
36391	9.1	scaffold2-24_out.log
36460	9.1	scaffold26-281_out.log
36512	9.1	scaffold27-292_out.log
16837	9.0	scaffold36-351_out.log
25664	9.0	scaffold39-371_out.log
35894	9.0	scaffold26-280_out.log
35993	9.0	scaffold20-229_out.log
36188	9.0	scaffold26-282_out.log
35742	8.9	scaffold9-124_out.log
35774	8.9	scaffold6-97_out.log
4728	8.9	scaffold61-466_out.log
28665	8.8	scaffold29-309_out.log
35043	8.8	scaffold23-258_out.log
35157	8.8	scaffold6-91_out.log
35175	8.8	scaffold3-47_out.log
35196	8.8	scaffold9-130_out.log
35286	8.8	scaffold40-373_out.log
34628	8.7	scaffold7-104_out.log
34758	8.7	scaffold6-94_out.log
34811	8.7	scaffold3-45_out.log
7888	8.7	scaffold101-556_out.log
22870	8.6	scaffold86-530_out.log
34229	8.6	scaffold48-419_out.log
34285	8.6	scaffold9-132_out.log
34319	8.6	scaffold19-220_out.log
34361	8.6	scaffold35-342_out.log
34419	8.6	scaffold42-387_out.log
34425	8.6	scaffold5-79_out.log
16048	8.5	scaffold69-487_out.log
33832	8.5	scaffold41-380_out.log
33886	8.5	scaffold47-411_out.log
33954	8.5	scaffold37-354_out.log
33965	8.5	scaffold52-431_out.log
33983	8.5	scaffold93-539_out.log
34133	8.5	scaffold1-12_out.log
3698	8.5	scaffold199-616_out.log
33425	8.4	scaffold76-504_out.log
33548	8.4	scaffold79-513_out.log
33666	8.4	scaffold9-129_out.log
33031	8.3	scaffold12-156_out.log
33038	8.3	scaffold89-531_out.log
33113	8.3	scaffold5-81_out.log
33283	8.3	scaffold6-98_out.log
33332	8.3	scaffold39-368_out.log
10519	8.2	scaffold47-415_out.log
32660	8.2	scaffold3-48_out.log
