population,individual,alternate_allele_count,reference_allele_count,missing_allele_count,alternate_allele_frequency,reference_allele_frequency,missing_allele_frequency,alternate_percentage_of_non_missing_alleles,latitude,longitude
belem_1,Bel_xsFRC041_Mus,0,3344,2214,0.0,0.602,0.398,0.0,-3.704,-48.563
belem_10,Bel_xsTP51965_Toe,0,5158,400,0.0,0.928,0.072,0.0,-2.835,-47.915
belem_2,Bel_xsGUR156_Mus,0,2988,2570,0.0,0.538,0.462,0.0,-3.704,-46.762
belem_3,Bel_xsLCA23_Mus,0,5242,316,0.0,0.943,0.057,0.0,-1.75,-48.8
belem_4,Bel_xsMLV157_Mus,0,4460,1098,0.0,0.802,0.198,0.0,-1.199,-48.299
belem_5,Bel_xsRDP017_Mus,0,4936,622,0.0,0.888,0.112,0.0,-4.715,-48.279
belem_6,Bel_xsREBIO002_Mus,0,2730,2828,0.0,0.491,0.509,0.0,-3.643,-46.711
belem_7,Bel_xsTP32151_Toe,0,4886,672,0.0,0.879,0.121,0.0,-1.562,-47.131
belem_8,Bel_xsTP37350_Toe,0,5392,166,0.0,0.97,0.03,0.0,-4.712,-46.354
belem_9,Bel_xsTP38597_Toe,0,5266,292,0.0,0.947,0.053,0.0,-2.949,-45.887
tapajos_1,Tap_xsA08267_Mus,4038,0,1520,0.727,0.0,0.273,100.0,-3.275,-54.942
tapajos_10,Tap_xsTM005_Mus,2930,0,2628,0.527,0.0,0.473,100.0,-6.067,-55.317
tapajos_2,Tap_xsBR163-028_Mus,4252,0,1306,0.765,0.0,0.235,100.0,-8.39,-55.37
tapajos_3,Tap_xsBR163-145_Mus,5228,0,330,0.941,0.0,0.059,100.0,-7.191,-55.495
tapajos_4,Tap_xsBR163-212_Mus,4172,0,1386,0.751,0.0,0.249,100.0,-6.202,-55.688
tapajos_5,Tap_xsMPDS1217_Mus,3192,0,2366,0.574,0.0,0.426,100.0,-6.519,-57.445
tapajos_6,Tap_xsMPDS1294_Mus,4938,0,620,0.888,0.0,0.112,100.0,-6.353,-57.307
tapajos_7,Tap_xsMSF111_Mus,5218,0,340,0.939,0.0,0.061,100.0,-9.262,-54.471
tapajos_8,Tap_xsPIME217_Mus,3634,0,1924,0.654,0.0,0.346,100.0,-4.609,-55.497
tapajos_9,Tap_xsSER013_Mus,4744,0,814,0.854,0.0,0.146,100.0,-6.802,-56.498
xingu_1,Xin_xsCOUFT0424_Mus,252,4874,432,0.045,0.877,0.078,4.9,-6.746,-48.16
xingu_10,Xin_xsTP36276_Toe,223,5073,262,0.04,0.913,0.047,4.2,-3.785,-49.782
xingu_11,Xin_xsTP48649_Toe,318,4838,402,0.057,0.87,0.072,6.2,-9.756,-50.537
xingu_12,Xin_xsTP81164_Toe,182,3764,1612,0.033,0.677,0.29,4.6,-6.19,-48.191
xingu_13,Xin_xsUHE455_Mus,276,3122,2160,0.05,0.562,0.389,8.1,-3.53,-51.733
xingu_2,Xin_xsFTA012_Mus,211,4361,986,0.038,0.785,0.177,4.6,-5.949,-50.65
xingu_3,Xin_xsGAPTO037_Mus,286,4444,828,0.051,0.8,0.149,6.0,-7.624,-49.381
xingu_4,Xin_xsGAPTO271_Mus,203,1747,3608,0.037,0.314,0.649,10.4,-7.624,-49.381
xingu_5,Xin_xsGAPX047_Mus,287,3347,1924,0.052,0.602,0.346,7.9,-6.514,-51.244
xingu_6,Xin_xsMAYA066_Mus,140,2450,2968,0.025,0.441,0.534,5.4,-1.563,-50.39
xingu_7,Xin_xsMOP011_Mus,290,4128,1140,0.052,0.743,0.205,6.6,-6.633,-50.984
xingu_8,Xin_xsMRJ498_Mus,205,4563,790,0.037,0.821,0.142,4.3,-2.016,-50.717
xingu_9,Xin_xsTP36025_Toe,230,5168,160,0.041,0.93,0.029,4.3,-4.596,-49.561
