population,individual,alternate_allele_count,reference_allele_count,missing_allele_count,alternate_allele_frequency,reference_allele_frequency,missing_allele_frequency,alternate_percentage_of_non_missing_alleles,latitude,longitude
belem_1,Bel_xsFRC041_Mus,0,1214,386,0.0,0.759,0.241,0.0,-3.704,-48.563
belem_10,Bel_xsTP51965_Toe,0,1468,132,0.0,0.917,0.083,0.0,-2.835,-47.915
belem_2,Bel_xsGUR156_Mus,0,1100,500,0.0,0.688,0.312,0.0,-3.704,-46.762
belem_3,Bel_xsLCA23_Mus,0,1502,98,0.0,0.939,0.061,0.0,-1.75,-48.8
belem_4,Bel_xsMLV157_Mus,0,1280,320,0.0,0.8,0.2,0.0,-1.199,-48.299
belem_5,Bel_xsRDP017_Mus,0,1390,210,0.0,0.869,0.131,0.0,-4.715,-48.279
belem_6,Bel_xsREBIO002_Mus,0,940,660,0.0,0.588,0.412,0.0,-3.643,-46.711
belem_7,Bel_xsTP32151_Toe,0,1474,126,0.0,0.921,0.079,0.0,-1.562,-47.131
belem_8,Bel_xsTP37350_Toe,0,1544,56,0.0,0.965,0.035,0.0,-4.712,-46.354
belem_9,Bel_xsTP38597_Toe,0,1492,108,0.0,0.932,0.068,0.0,-2.949,-45.887
tapajos_1,Tap_xsA08267_Mus,1276,0,324,0.797,0.0,0.203,100.0,-3.275,-54.942
tapajos_10,Tap_xsTM005_Mus,1078,0,522,0.674,0.0,0.326,100.0,-6.067,-55.317
tapajos_2,Tap_xsBR163-028_Mus,1344,0,256,0.84,0.0,0.16,100.0,-8.39,-55.37
tapajos_3,Tap_xsBR163-145_Mus,1488,0,112,0.93,0.0,0.07,100.0,-7.191,-55.495
tapajos_4,Tap_xsBR163-212_Mus,1354,0,246,0.846,0.0,0.154,100.0,-6.202,-55.688
tapajos_5,Tap_xsMPDS1217_Mus,1118,0,482,0.699,0.0,0.301,100.0,-6.519,-57.445
tapajos_6,Tap_xsMPDS1294_Mus,1370,0,230,0.856,0.0,0.144,100.0,-6.353,-57.307
tapajos_7,Tap_xsMSF111_Mus,1470,0,130,0.919,0.0,0.081,100.0,-9.262,-54.471
tapajos_8,Tap_xsPIME217_Mus,1254,0,346,0.784,0.0,0.216,100.0,-4.609,-55.497
tapajos_9,Tap_xsSER013_Mus,1480,0,120,0.925,0.0,0.075,100.0,-6.802,-56.498
xingu_1,Xin_xsCOUFT0424_Mus,252,1222,126,0.158,0.764,0.079,17.1,-6.746,-48.16
xingu_10,Xin_xsTP36276_Toe,223,1305,72,0.139,0.816,0.045,14.6,-3.785,-49.782
xingu_11,Xin_xsTP48649_Toe,318,1160,122,0.199,0.725,0.076,21.5,-9.756,-50.537
xingu_12,Xin_xsTP81164_Toe,182,952,466,0.114,0.595,0.291,16.0,-6.19,-48.191
xingu_13,Xin_xsUHE455_Mus,276,936,388,0.172,0.585,0.242,22.8,-3.53,-51.733
xingu_2,Xin_xsFTA012_Mus,211,1105,284,0.132,0.691,0.177,16.0,-5.949,-50.65
xingu_3,Xin_xsGAPTO037_Mus,286,1124,190,0.179,0.703,0.119,20.3,-7.624,-49.381
xingu_4,Xin_xsGAPTO271_Mus,203,657,740,0.127,0.411,0.463,23.6,-7.624,-49.381
xingu_5,Xin_xsGAPX047_Mus,287,987,326,0.179,0.617,0.204,22.5,-6.514,-51.244
xingu_6,Xin_xsMAYA066_Mus,140,872,588,0.087,0.545,0.367,13.8,-1.563,-50.39
xingu_7,Xin_xsMOP011_Mus,290,982,328,0.181,0.614,0.205,22.8,-6.633,-50.984
xingu_8,Xin_xsMRJ498_Mus,205,1171,224,0.128,0.732,0.14,14.9,-2.016,-50.717
xingu_9,Xin_xsTP36025_Toe,230,1328,42,0.144,0.83,0.026,14.8,-4.596,-49.561
