population,individual,alternate_allele_count,reference_allele_count,missing_allele_count,alternate_allele_frequency,reference_allele_frequency,missing_allele_frequency,alternate_percentage_of_non_missing_alleles,latitude,longitude
belem_1,Bel_xsFRC041_Mus,39,2281,1874,0.009,0.544,0.447,1.7,-3.704,-48.563
belem_10,Bel_xsTP51965_Toe,31,3887,276,0.007,0.927,0.066,0.8,-2.835,-47.915
belem_2,Bel_xsGUR156_Mus,20,2048,2126,0.005,0.488,0.507,1.0,-3.704,-46.762
belem_3,Bel_xsLCA23_Mus,22,3942,230,0.005,0.94,0.055,0.6,-1.75,-48.8
belem_4,Bel_xsMLV157_Mus,27,3353,814,0.006,0.799,0.194,0.8,-1.199,-48.299
belem_5,Bel_xsRDP017_Mus,31,3727,436,0.007,0.889,0.104,0.8,-4.715,-48.279
belem_6,Bel_xsREBIO002_Mus,29,1925,2240,0.007,0.459,0.534,1.5,-3.643,-46.711
belem_7,Bel_xsTP32151_Toe,23,3595,576,0.005,0.857,0.137,0.6,-1.562,-47.131
belem_8,Bel_xsTP37350_Toe,31,4047,116,0.007,0.965,0.028,0.8,-4.712,-46.354
belem_9,Bel_xsTP38597_Toe,19,3979,196,0.005,0.949,0.047,0.5,-2.949,-45.887
tapajos_1,Tap_xsA08267_Mus,2950,0,1244,0.703,0.0,0.297,100.0,-3.275,-54.942
tapajos_10,Tap_xsTM005_Mus,2016,0,2178,0.481,0.0,0.519,100.0,-6.067,-55.317
tapajos_2,Tap_xsBR163-028_Mus,3126,0,1068,0.745,0.0,0.255,100.0,-8.39,-55.37
tapajos_3,Tap_xsBR163-145_Mus,3952,0,242,0.942,0.0,0.058,100.0,-7.191,-55.495
tapajos_4,Tap_xsBR163-212_Mus,3018,0,1176,0.72,0.0,0.28,100.0,-6.202,-55.688
tapajos_5,Tap_xsMPDS1217_Mus,2258,0,1936,0.538,0.0,0.462,100.0,-6.519,-57.445
tapajos_6,Tap_xsMPDS1294_Mus,3780,0,414,0.901,0.0,0.099,100.0,-6.353,-57.307
tapajos_7,Tap_xsMSF111_Mus,3964,0,230,0.945,0.0,0.055,100.0,-9.262,-54.471
tapajos_8,Tap_xsPIME217_Mus,2568,0,1626,0.612,0.0,0.388,100.0,-4.609,-55.497
tapajos_9,Tap_xsSER013_Mus,3472,0,722,0.828,0.0,0.172,100.0,-6.802,-56.498
xingu_1,Xin_xsCOUFT0424_Mus,0,3870,324,0.0,0.923,0.077,0.0,-6.746,-48.16
xingu_10,Xin_xsTP36276_Toe,0,3996,198,0.0,0.953,0.047,0.0,-3.785,-49.782
xingu_11,Xin_xsTP48649_Toe,0,3900,294,0.0,0.93,0.07,0.0,-9.756,-50.537
xingu_12,Xin_xsTP81164_Toe,0,2984,1210,0.0,0.711,0.289,0.0,-6.19,-48.191
xingu_13,Xin_xsUHE455_Mus,0,2374,1820,0.0,0.566,0.434,0.0,-3.53,-51.733
xingu_2,Xin_xsFTA012_Mus,0,3432,762,0.0,0.818,0.182,0.0,-5.949,-50.65
xingu_3,Xin_xsGAPTO037_Mus,0,3522,672,0.0,0.84,0.16,0.0,-7.624,-49.381
xingu_4,Xin_xsGAPTO271_Mus,0,1212,2982,0.0,0.289,0.711,0.0,-7.624,-49.381
xingu_5,Xin_xsGAPX047_Mus,0,2560,1634,0.0,0.61,0.39,0.0,-6.514,-51.244
xingu_6,Xin_xsMAYA066_Mus,0,1740,2454,0.0,0.415,0.585,0.0,-1.563,-50.39
xingu_7,Xin_xsMOP011_Mus,0,3340,854,0.0,0.796,0.204,0.0,-6.633,-50.984
xingu_8,Xin_xsMRJ498_Mus,0,3600,594,0.0,0.858,0.142,0.0,-2.016,-50.717
xingu_9,Xin_xsTP36025_Toe,0,4064,130,0.0,0.969,0.031,0.0,-4.596,-49.561
