population,individual,alternate_allele_count,reference_allele_count,missing_allele_count,alternate_allele_frequency,reference_allele_frequency,missing_allele_frequency,alternate_percentage_of_non_missing_alleles,latitude,longitude
belem_1,Bel_xsFRC041_Mus,39,151,46,0.165,0.64,0.195,20.5,-3.704,-48.563
belem_10,Bel_xsTP51965_Toe,31,197,8,0.131,0.835,0.034,13.6,-2.835,-47.915
belem_2,Bel_xsGUR156_Mus,20,160,56,0.085,0.678,0.237,11.1,-3.704,-46.762
belem_3,Bel_xsLCA23_Mus,22,202,12,0.093,0.856,0.051,9.8,-1.75,-48.8
belem_4,Bel_xsMLV157_Mus,27,173,36,0.114,0.733,0.153,13.5,-1.199,-48.299
belem_5,Bel_xsRDP017_Mus,31,181,24,0.131,0.767,0.102,14.6,-4.715,-48.279
belem_6,Bel_xsREBIO002_Mus,29,135,72,0.123,0.572,0.305,17.7,-3.643,-46.711
belem_7,Bel_xsTP32151_Toe,23,183,30,0.097,0.775,0.127,11.2,-1.562,-47.131
belem_8,Bel_xsTP37350_Toe,31,199,6,0.131,0.843,0.025,13.5,-4.712,-46.354
belem_9,Bel_xsTP38597_Toe,19,205,12,0.081,0.869,0.051,8.5,-2.949,-45.887
tapajos_1,Tap_xsA08267_Mus,188,0,48,0.797,0.0,0.203,100.0,-3.275,-54.942
tapajos_10,Tap_xsTM005_Mus,164,0,72,0.695,0.0,0.305,100.0,-6.067,-55.317
tapajos_2,Tap_xsBR163-028_Mus,218,0,18,0.924,0.0,0.076,100.0,-8.39,-55.37
tapajos_3,Tap_xsBR163-145_Mus,212,0,24,0.898,0.0,0.102,100.0,-7.191,-55.495
tapajos_4,Tap_xsBR163-212_Mus,200,0,36,0.847,0.0,0.153,100.0,-6.202,-55.688
tapajos_5,Tap_xsMPDS1217_Mus,184,0,52,0.78,0.0,0.22,100.0,-6.519,-57.445
tapajos_6,Tap_xsMPDS1294_Mus,212,0,24,0.898,0.0,0.102,100.0,-6.353,-57.307
tapajos_7,Tap_xsMSF111_Mus,216,0,20,0.915,0.0,0.085,100.0,-9.262,-54.471
tapajos_8,Tap_xsPIME217_Mus,188,0,48,0.797,0.0,0.203,100.0,-4.609,-55.497
tapajos_9,Tap_xsSER013_Mus,208,0,28,0.881,0.0,0.119,100.0,-6.802,-56.498
xingu_1,Xin_xsCOUFT0424_Mus,0,218,18,0.0,0.924,0.076,0.0,-6.746,-48.16
xingu_10,Xin_xsTP36276_Toe,0,228,8,0.0,0.966,0.034,0.0,-3.785,-49.782
xingu_11,Xin_xsTP48649_Toe,0,222,14,0.0,0.941,0.059,0.0,-9.756,-50.537
xingu_12,Xin_xsTP81164_Toe,0,172,64,0.0,0.729,0.271,0.0,-6.19,-48.191
xingu_13,Xin_xsUHE455_Mus,0,188,48,0.0,0.797,0.203,0.0,-3.53,-51.733
xingu_2,Xin_xsFTA012_Mus,0,176,60,0.0,0.746,0.254,0.0,-5.949,-50.65
xingu_3,Xin_xsGAPTO037_Mus,0,202,34,0.0,0.856,0.144,0.0,-7.624,-49.381
xingu_4,Xin_xsGAPTO271_Mus,0,122,114,0.0,0.517,0.483,0.0,-7.624,-49.381
xingu_5,Xin_xsGAPX047_Mus,0,200,36,0.0,0.847,0.153,0.0,-6.514,-51.244
xingu_6,Xin_xsMAYA066_Mus,0,162,74,0.0,0.686,0.314,0.0,-1.563,-50.39
xingu_7,Xin_xsMOP011_Mus,0,194,42,0.0,0.822,0.178,0.0,-6.633,-50.984
xingu_8,Xin_xsMRJ498_Mus,0,208,28,0.0,0.881,0.119,0.0,-2.016,-50.717
xingu_9,Xin_xsTP36025_Toe,0,224,12,0.0,0.949,0.051,0.0,-4.596,-49.561
