old_names	new_names	fixed	order
Tap_xsBR163-028_Mus	MPEG T2398	X	1
Tap_xsMSF111_Mus 	MPEG T17605	X	2
Tap_xsBR163-145_Mus	MPEG T2483	X	3
Tap_xsBR163-212_Mus	MPEG T7554	X	4
Tap_xsSER013_Mus 	MPEG T17303	X	5
Tap_xsMPDS1217_Mus 	MPEG T10887		6
Tap_xsMPDS1294_Mus 	MPEG T10927	X	7
Tap_xsPIME217_Mus	MPEG T11110	X	8
Tap_xsTM005_Mus	MPEG T6493		9
Tap_xsA08267_Mus 	MPEG T3542		10
Bel_xsFRC041_Mus 	MPEG T2224		11
Bel_xsRDP017_Mus 	MPEG T14859		12
Bel_xsGUR156_Mus 	MPEG T19953		13
Bel_xsTP32151_Toe	MPEG 32151*		14
Bel_xsLCA23_Mus	MPEG T27446		15
Bel_xsMLV157_Mus 	MPEG T2263		16
Bel_xsREBIO002_Mus 	MPEG T23693		17
Bel_xsTP37350_Toe	MPEG 37350*		18
Bel_xsTP38597_Toe	MPEG 38597*		19
Bel_xsTP51965_Toe	MPEG 51965*		20
Xin_xsMAYA066_Mus	MPEG T4213		21
Xin_xsCOUFT0424_Mus	MPEG T19106		22
Xin_xsTP81164_Toe	MPEG 81164*		23
Xin_xsGAPTO037_Mus 	MPEG T21178		24
Xin_xsGAPTO271_Mus 	MPEG T21404		25
Xin_xsFTA012_Mus 	MPEG T9513		26
Xin_xsTP36025_Toe	MPEG 36025*		27
Xin_xsGAPX047_Mus	MPEG T16499		28
Xin_xsMOP011_Mus 	MPEG T10312		29
Xin_xsTP48649_Toe	MPEG 48649*		30
Xin_xsTP36276_Toe	MPEG 36276*		31
Xin_xsUHE455_Mus 	MPEG T1695		32
Xin_xsMRJ498_Mus 	MPEG T25115		33
