BioSample,LibraryName,Run,BioProject,fq1,fq2,lat,long
Tap_xsA08267_Mus,Tap_xsA08267_Mus,1,Xiphorhynchus,/scratch/amonc/sra_project/fastq/SRR27456454_1.fastq.gz,/scratch/amonc/sra_project/fastq/SRR27456454_2.fastq.gz,-3.275,-54.942
Tap_xsBR163-028_Mus,Tap_xsBR163-028_Mus,2,Xiphorhynchus,/scratch/amonc/sra_project/fastq/SRR27456453_1.fastq.gz,/scratch/amonc/sra_project/fastq/SRR27456453_2.fastq.gz,-8.39,-55.37
Tap_xsBR163-145_Mus,Tap_xsBR163-145_Mus,3,Xiphorhynchus,/scratch/amonc/sra_project/fastq/SRR27456452_1.fastq.gz,/scratch/amonc/sra_project/fastq/SRR27456452_2.fastq.gz,-7.191,-55.495
Tap_xsBR163-212_Mus,Tap_xsBR163-212_Mus,4,Xiphorhynchus,/scratch/amonc/sra_project/fastq/SRR27456451_1.fastq.gz,/scratch/amonc/sra_project/fastq/SRR27456451_2.fastq.gz,-6.202,-55.688
Xin_xsCOUFT0424_Mus,Xin_xsCOUFT0424_Mus,5,Xiphorhynchus,/scratch/amonc/sra_project/fastq/SRR27456450_1.fastq.gz,/scratch/amonc/sra_project/fastq/SRR27456450_2.fastq.gz,-6.746,-48.16
Bel_xsFRC041_Mus,Bel_xsFRC041_Mus,6,Xiphorhynchus,/scratch/amonc/sra_project/fastq/SRR27456449_1.fastq.gz,/scratch/amonc/sra_project/fastq/SRR27456449_2.fastq.gz,-3.704,-48.563
Xin_xsFTA012_Mus,Xin_xsFTA012_Mus,7,Xiphorhynchus,/scratch/amonc/sra_project/fastq/SRR27456448_1.fastq.gz,/scratch/amonc/sra_project/fastq/SRR27456448_2.fastq.gz,-5.949,-50.65
Xin_xsGAPTO037_Mus,Xin_xsGAPTO037_Mus,8,Xiphorhynchus,/scratch/amonc/sra_project/fastq/SRR27456446_1.fastq.gz,/scratch/amonc/sra_project/fastq/SRR27456446_2.fastq.gz,-7.624,-49.381
Xin_xsGAPTO271_Mus,Xin_xsGAPTO271_Mus,9,Xiphorhynchus,/scratch/amonc/sra_project/fastq/SRR27456445_1.fastq.gz,/scratch/amonc/sra_project/fastq/SRR27456445_2.fastq.gz,-7.624,-49.381
Xin_xsGAPX047_Mus,Xin_xsGAPX047_Mus,10,Xiphorhynchus,/scratch/amonc/sra_project/fastq/SRR27456444_1.fastq.gz,/scratch/amonc/sra_project/fastq/SRR27456444_2.fastq.gz,-6.514,-51.244
Bel_xsGUR156_Mus,Bel_xsGUR156_Mus,11,Xiphorhynchus,/scratch/amonc/sra_project/fastq/SRR27456443_1.fastq.gz,/scratch/amonc/sra_project/fastq/SRR27456443_2.fastq.gz,-3.704,-46.762
Bel_xsLCA23_Mus,Bel_xsLCA23_Mus,12,Xiphorhynchus,/scratch/amonc/sra_project/fastq/SRR27456442_1.fastq.gz,/scratch/amonc/sra_project/fastq/SRR27456442_2.fastq.gz,-1.75,-48.8
Xin_xsMAYA066_Mus,Xin_xsMAYA066_Mus,13,Xiphorhynchus,/scratch/amonc/sra_project/fastq/SRR27456441_1.fastq.gz,/scratch/amonc/sra_project/fastq/SRR27456441_2.fastq.gz,-1.563,-50.39
Bel_xsMLV157_Mus,Bel_xsMLV157_Mus,14,Xiphorhynchus,/scratch/amonc/sra_project/fastq/SRR27456440_1.fastq.gz,/scratch/amonc/sra_project/fastq/SRR27456440_2.fastq.gz,-1.199,-48.299
