h1tg000031l_path_1,scaffold_1
h1tg000020l_path_1,scaffold_2
h1tg000017l_path_1,scaffold_3
h1tg000007l_path_1,scaffold_4
h1tg000014l_path_1,scaffold_5
h1tg000015l_path_1,scaffold_6
h1tg000038l_path_1,scaffold_7
h1tg000019l_path_1,scaffold_8
h1tg000006l_path_1,scaffold_9
h1tg000027l_path_1,scaffold_10
h1tg000058l_path_1,scaffold_11
h1tg000070l_path_1,scaffold_12
h1tg000034l_path_1,scaffold_13
h1tg000023l_path_1,scaffold_14
h1tg000003l_path_1,scaffold_15
h1tg000041l_path_1,scaffold_16
h1tg000066l_path_1,scaffold_17
h1tg000001l_path_1,scaffold_18
h1tg000052l_path_1,scaffold_19
h1tg000074l_path_1,scaffold_20
h1tg000013l_path_1,scaffold_21
h1tg000042l_path_1,scaffold_22
h1tg000022l_path_1,scaffold_23
h1tg000051l_path_1,scaffold_24
h1tg000084l_path_1,scaffold_25
h1tg000056l_path_1,scaffold_26
h1tg000062l_path_1,scaffold_27
h1tg000018l_path_1,scaffold_28
h1tg000061l_path_1,scaffold_29
h1tg000078l_path_1,scaffold_30
h1tg000010l_path_1,scaffold_31
h1tg000073l_path_1,scaffold_32
h1tg000036l_path_1,scaffold_33
h1tg000032l_path_1,scaffold_34
h1tg000101l_path_1,scaffold_35
h1tg000040l_path_1,scaffold_36
h1tg000029l_path_1,scaffold_37
h1tg000004l_path_1,scaffold_38
h1tg000053l_path_1,scaffold_39
h1tg000065l_path_1,scaffold_40
h1tg000009l_path_1,scaffold_41
h1tg000005l_path_1,scaffold_42
h1tg000089l_path_1,scaffold_43
h1tg000033l_path_1,scaffold_44
h1tg000102l_path_1,scaffold_45
h1tg000096l_path_1,scaffold_46
h1tg000054l_path_1,scaffold_47
h1tg000043l_path_1,scaffold_48
h1tg000088l_path_1,scaffold_49
h1tg000135l_path_1,scaffold_50
h1tg000039l_path_1,scaffold_51
h1tg000002l_path_1,scaffold_52
h1tg000012l_path_1,scaffold_53
h1tg000094l_path_1,scaffold_54
h1tg000044l_path_1,scaffold_55
h1tg000055l_path_1,scaffold_56
h1tg000046l_path_1,scaffold_57
h1tg000028l_path_1,scaffold_58
h1tg000025l_path_1,scaffold_59
h1tg000075l_path_1,scaffold_60
h1tg000011l_path_1,scaffold_61
h1tg000024l_path_1,scaffold_62
h1tg000050l_path_1,scaffold_63
h1tg000314l_path_1,scaffold_64
h1tg000057l_path_1,scaffold_65
h1tg000118l_path_1,scaffold_66
h1tg000060l_path_1,scaffold_67
h1tg000049l_path_1,scaffold_68
h1tg000048l_path_1,scaffold_69
h1tg000139l_path_1,scaffold_70
h1tg000076l_path_1,scaffold_71
h1tg000138l_path_1,scaffold_72
h1tg000095l_path_1,scaffold_73
h1tg000104l_path_1,scaffold_74
h1tg000098l_path_1,scaffold_75
h1tg000045l_path_1,scaffold_76
h1tg000086l_path_1,scaffold_77
h1tg000080l_path_1,scaffold_78
h1tg000035l_path_1,scaffold_79
h1tg000090l_path_1,scaffold_80
h1tg000059l_path_1,scaffold_81
h1tg000016l_path_1,scaffold_82
h1tg000112l_path_1,scaffold_83
h1tg000119l_path_1,scaffold_84
h1tg000030l_path_1,scaffold_85
h1tg000072l_path_1,scaffold_86
h1tg000026l_path_1,scaffold_87
h1tg000124l_path_1,scaffold_88
h1tg000105l_path_1,scaffold_89
h1tg000069l_path_1,scaffold_90
h1tg000093l_path_1,scaffold_91
h1tg000136l_path_1,scaffold_92
h1tg000079l_path_1,scaffold_93
h1tg000047l_path_1,scaffold_94
h1tg000113l_path_1,scaffold_95
h1tg000141l_path_1,scaffold_96
h1tg000114l_path_1,scaffold_97
h1tg000097l_path_1,scaffold_98
h1tg000083l_path_1,scaffold_99
h1tg000077l_path_1,scaffold_100
h1tg000132l_path_1,scaffold_101
h1tg000103l_path_1,scaffold_102
h1tg000153l_path_1,scaffold_103
h1tg000125l_path_1,scaffold_104
h1tg000130l_path_1,scaffold_105
h1tg000120l_path_1,scaffold_106
h1tg000064l_path_1,scaffold_107
h1tg000140l_path_1,scaffold_108
h1tg000087l_path_1,scaffold_109
h1tg000134l_path_1,scaffold_110
h1tg000106l_path_1,scaffold_111
h1tg000165l_path_1,scaffold_112
h1tg000200l_path_1,scaffold_113
h1tg000126l_path_1,scaffold_114
h1tg000172l_path_1,scaffold_115
h1tg000117l_path_1,scaffold_116
h1tg000131l_path_1,scaffold_117
h1tg000121l_path_1,scaffold_118
h1tg000008l_path_1,scaffold_119
h1tg000210l_path_1,scaffold_120
h1tg000063l_path_1,scaffold_121
h1tg000111l_path_1,scaffold_122
h1tg000168l_path_1,scaffold_123
h1tg000144l_path_1,scaffold_124
h1tg000091l_path_1,scaffold_125
h1tg000128l_path_1,scaffold_126
h1tg000155l_path_1,scaffold_127
h1tg000178l_path_1,scaffold_128
h1tg000085l_path_1,scaffold_129
h1tg000298l_path_1,scaffold_130
h1tg000207l_path_1,scaffold_131
h1tg000152l_path_1,scaffold_132
h1tg000222l_path_1,scaffold_133
h1tg000151l_path_1,scaffold_134
h1tg000150l_path_1,scaffold_135
h1tg000196l_path_1,scaffold_136
h1tg000146l_path_1,scaffold_137
h1tg000123l_path_1,scaffold_138
h1tg000156l_path_1,scaffold_139
h1tg000137l_path_1,scaffold_140
h1tg000161l_path_1,scaffold_141
h1tg000071l_path_1,scaffold_142
h1tg000192l_path_1,scaffold_143
h1tg000100l_path_1,scaffold_144
h1tg000154l_path_1,scaffold_145
h1tg000180l_path_1,scaffold_146
h1tg000163l_path_1,scaffold_147
h1tg000204l_path_1,scaffold_148
h1tg000021l_path_1,scaffold_149
h1tg000129l_path_1,scaffold_150
h1tg000148l_path_1,scaffold_151
h1tg000176l_path_1,scaffold_152
h1tg000157l_path_1,scaffold_153
h1tg000217l_path_1,scaffold_154
h1tg000296l_path_1,scaffold_155
h1tg000307l_path_1,scaffold_156
h1tg000081l_path_1,scaffold_157
h1tg000143l_path_1,scaffold_158
h1tg000235l_path_1,scaffold_159
h1tg000213l_path_1,scaffold_160
h1tg000218l_path_1,scaffold_161
h1tg000082l_path_1,scaffold_162
h1tg000107l_path_1,scaffold_163
h1tg000116l_path_1,scaffold_164
h1tg000122l_path_1,scaffold_165
h1tg000228l_path_1,scaffold_166
h1tg000223l_path_1,scaffold_167
h1tg000133l_path_1,scaffold_168
h1tg000108l_path_1,scaffold_169
h1tg000171l_path_1,scaffold_170
h1tg000068l_path_1,scaffold_171
h1tg000160l_path_1,scaffold_172
h1tg000206l_path_1,scaffold_173
h1tg000290l_path_1,scaffold_174
h1tg000219l_path_1,scaffold_175
h1tg000099l_path_1,scaffold_176
h1tg000037l_path_1,scaffold_177
h1tg000170l_path_1,scaffold_178
h1tg000142l_path_1,scaffold_179
h1tg000127l_path_1,scaffold_180
