BioSample,LibraryName,Run,BioProject,fq1,fq2,lat,long
Tap_xsA08267_Mus,Tap_xsA08267_Mus,1,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsA08267_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsA08267_R2.fastq.gz,-3.275,-54.942
Tap_xsBR163-028_Mus,Tap_xsBR163-028_Mus,2,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsBR163-028_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsBR163-028_R2.fastq.gz,-8.39,-55.37
Tap_xsBR163-145_Mus,Tap_xsBR163-145_Mus,3,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsBR163-145_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsBR163-145_R2.fastq.gz,-7.191,-55.495
Tap_xsBR163-212_Mus,Tap_xsBR163-212_Mus,4,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsBR163-212_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsBR163-212_R2.fastq.gz,-6.202,-55.688
Xin_xsCOUFT0424_Mus,Xin_xsCOUFT0424_Mus,5,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsCOUFT0424_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsCOUFT0424_R2.fastq.gz,-6.746,-48.16
Bel_xsFRC041_Mus,Bel_xsFRC041_Mus,6,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsFRC041_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsFRC041_R2.fastq.gz,-3.704,-48.563
Xin_xsFTA012_Mus,Xin_xsFTA012_Mus,7,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsFTA012_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsFTA012_R2.fastq.gz,-5.949,-50.65
Xin_xsGAPTO037_Mus,Xin_xsGAPTO037_Mus,8,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsGAPTO037_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsGAPTO037_R2.fastq.gz,-7.624,-49.381
Xin_xsGAPTO271_Mus,Xin_xsGAPTO271_Mus,9,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsGAPTO271_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsGAPTO271_R2.fastq.gz,-7.624,-49.381
Xin_xsGAPX047_Mus,Xin_xsGAPX047_Mus,10,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsGAPX047_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsGAPX047_R2.fastq.gz,-6.514,-51.244
Bel_xsGUR156_Mus,Bel_xsGUR156_Mus,11,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsGUR156_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsGUR156_R2.fastq.gz,-3.704,-46.762
Bel_xsLCA23_Mus,Bel_xsLCA23_Mus,12,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsLCA23_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsLCA23_R2.fastq.gz,-1.75,-48.8
Xin_xsMAYA066_Mus,Xin_xsMAYA066_Mus,13,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsMAYA066_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsMAYA066_R2.fastq.gz,-1.563,-50.39
Bel_xsMLV157_Mus,Bel_xsMLV157_Mus,14,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsMLV157_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsMLV157_R2.fastq.gz,-1.199,-48.299
Xin_xsMOP011_Mus,Xin_xsMOP011_Mus,15,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsMOP011_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsMOP011_R2.fastq.gz,-6.633,-50.984
Tap_xsMPDS1217_Mus,Tap_xsMPDS1217_Mus,16,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsMPDS1217_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsMPDS1217_R2.fastq.gz,-6.519,-57.445
Tap_xsMPDS1294_Mus,Tap_xsMPDS1294_Mus,17,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsMPDS1294_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsMPDS1294_R2.fastq.gz,-6.353,-57.307
Xin_xsMRJ498_Mus,Xin_xsMRJ498_Mus,18,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsMRJ498_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsMRJ498_R2.fastq.gz,-2.016,-50.717
Tap_xsMSF111_Mus,Tap_xsMSF111_Mus,19,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsMSF111_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsMSF111_R2.fastq.gz,-9.262,-54.471
