chrom	start	end	nSites	recombRate
b'scaffold_1'	0	60000	100	4.688076420417334e-10
b'scaffold_1'	60000	120000	280	5.892861503620495e-10
b'scaffold_1'	120000	180000	813	1.5646907827579375e-09
b'scaffold_1'	180000	240000	1268	3.0068691729513823e-09
b'scaffold_1'	240000	300000	1208	2.6552345605328137e-09
b'scaffold_1'	300000	360000	1307	3.0555860555770094e-09
b'scaffold_1'	360000	420000	1285	2.8647418592592256e-09
b'scaffold_1'	420000	480000	1276	2.6794312879539343e-09
b'scaffold_1'	480000	540000	1107	1.8317646719073995e-09
b'scaffold_1'	540000	600000	1645	2.4735314848693077e-09
b'scaffold_1'	600000	660000	1694	3.844949244137564e-09
b'scaffold_1'	660000	720000	1383	3.939391262892283e-09
b'scaffold_1'	720000	780000	1372	3.6609373214930404e-09
b'scaffold_1'	780000	840000	1448	4.200978295287134e-09
b'scaffold_1'	840000	900000	1107	2.029552730013742e-09
b'scaffold_1'	900000	960000	1239	2.2391780257657913e-09
b'scaffold_1'	960000	1020000	1426	3.3237076880037437e-09
b'scaffold_1'	1020000	1080000	1109	2.586740926107878e-09
b'scaffold_1'	1080000	1140000	1441	2.3588709241292423e-09
b'scaffold_1'	1140000	1200000	1189	3.673915513054985e-09
b'scaffold_1'	1200000	1260000	1468	3.736299945043686e-09
b'scaffold_1'	1260000	1320000	1328	3.9002269549396965e-09
b'scaffold_1'	1320000	1380000	1459	3.652433398602281e-09
b'scaffold_1'	1380000	1440000	1309	4.234078213800585e-09
b'scaffold_1'	1440000	1500000	1479	3.3371846883161273e-09
b'scaffold_1'	1500000	1560000	1329	3.0508897956817614e-09
b'scaffold_1'	1560000	1620000	1327	3.1610533751254037e-09
b'scaffold_1'	1620000	1680000	1202	2.9987100079616228e-09
b'scaffold_1'	1680000	1740000	1399	3.7035985047274495e-09
b'scaffold_1'	1740000	1800000	1392	2.4378664617118308e-09
b'scaffold_1'	1800000	1860000	1348	3.347726506443872e-09
b'scaffold_1'	1860000	1920000	1047	3.0179859562494932e-09
b'scaffold_1'	1920000	1980000	1075	3.601911040021232e-09
b'scaffold_1'	1980000	2040000	1233	2.706596219741779e-09
b'scaffold_1'	2040000	2100000	1135	2.1466575049812413e-09
b'scaffold_1'	2100000	2160000	1330	3.2275685818912593e-09
b'scaffold_1'	2160000	2220000	1047	2.295196810029215e-09
b'scaffold_1'	2220000	2280000	1203	1.9032413035306266e-09
b'scaffold_1'	2280000	2340000	1214	2.369186702260599e-09
b'scaffold_1'	2340000	2400000	1343	3.902582431927833e-09
b'scaffold_1'	2400000	2460000	1277	4.076250827537991e-09
b'scaffold_1'	2460000	2520000	1405	3.219823853186708e-09
b'scaffold_1'	2520000	2580000	1196	3.2136927873799183e-09
b'scaffold_1'	2580000	2640000	1796	4.348748294093141e-09
b'scaffold_1'	2640000	2700000	1176	2.217837667719735e-09
b'scaffold_1'	2700000	2760000	1726	4.176916342609163e-09
b'scaffold_1'	2760000	2820000	1601	3.9458245843657146e-09
b'scaffold_1'	2820000	2880000	1606	4.2593738372810355e-09
b'scaffold_1'	2880000	2940000	1432	3.1038575337466695e-09
b'scaffold_1'	2940000	3000000	1350	2.083702275095152e-09
b'scaffold_1'	3000000	3060000	1553	1.9424510367336885e-09
b'scaffold_1'	3060000	3120000	1504	3.7458021174388085e-09
b'scaffold_1'	3120000	3180000	1276	1.2490751944488125e-09
b'scaffold_1'	3180000	3240000	1083	8.41083132774417e-10
b'scaffold_1'	3240000	3300000	1038	1.6466792123433776e-09
