job_id	region	chromosome	start	end
1	scaffold100-553	scaffold_100	1	2000000
2	scaffold100-554	scaffold_100	1900001	2446770
3	scaffold10-135	scaffold_10	1	2000000
4	scaffold10-136	scaffold_10	1900001	3900000
5	scaffold10-137	scaffold_10	3800001	5800000
6	scaffold10-138	scaffold_10	5700001	7700000
7	scaffold10-139	scaffold_10	7600001	9600000
8	scaffold10-140	scaffold_10	9500001	11500000
9	scaffold10-141	scaffold_10	11400001	13400000
10	scaffold10-142	scaffold_10	13300001	15300000
11	scaffold10-143	scaffold_10	15200001	17200000
12	scaffold10-144	scaffold_10	17100001	18685812
13	scaffold101-555	scaffold_101	1	2000000
14	scaffold101-556	scaffold_101	1900001	2354958
15	scaffold102-557	scaffold_102	1	2000000
16	scaffold102-558	scaffold_102	1900001	2272641
17	scaffold110-562	scaffold_110	1	1805944
18	scaffold1-10	scaffold_1	17100001	19100000
19	scaffold11-145	scaffold_11	1	2000000
20	scaffold11-146	scaffold_11	1900001	3900000
21	scaffold11-147	scaffold_11	3800001	5800000
22	scaffold11-148	scaffold_11	5700001	7700000
23	scaffold11-149	scaffold_11	7600001	9600000
24	scaffold11-150	scaffold_11	9500001	11500000
25	scaffold11-151	scaffold_11	11400001	13400000
26	scaffold11-152	scaffold_11	13300001	15300000
27	scaffold11-153	scaffold_11	15200001	17200000
28	scaffold11-154	scaffold_11	17100001	18386557
29	scaffold1-11	scaffold_1	19000001	21000000
30	scaffold112-563	scaffold_112	1	1678307
31	scaffold1-12	scaffold_1	20900001	22900000
32	scaffold1-13	scaffold_1	22800001	24800000
33	scaffold114-564	scaffold_114	1	1659641
34	scaffold1-14	scaffold_1	24700001	26700000
35	scaffold115-565	scaffold_115	1	1647773
36	scaffold1-15	scaffold_1	26600001	28600000
37	scaffold1-16	scaffold_1	28500001	30500000
38	scaffold117-567	scaffold_117	1	1604794
39	scaffold1-17	scaffold_1	30400001	32400000
40	scaffold118-568	scaffold_118	1	1551069
41	scaffold1-18	scaffold_1	32300001	34300000
42	scaffold119-569	scaffold_119	1	1550773
43	scaffold1-19	scaffold_1	34200001	36200000
44	scaffold1-1	scaffold_1	1	2000000
45	scaffold1-20	scaffold_1	36100001	38100000
46	scaffold12-155	scaffold_12	1	2000000
47	scaffold12-156	scaffold_12	1900001	3900000
48	scaffold12-157	scaffold_12	3800001	5800000
49	scaffold12-158	scaffold_12	5700001	7700000
50	scaffold12-159	scaffold_12	7600001	9600000
51	scaffold12-160	scaffold_12	9500001	11500000
52	scaffold12-161	scaffold_12	11400001	13400000
53	scaffold12-162	scaffold_12	13300001	15300000
54	scaffold1-21	scaffold_1	38000001	40000000
55	scaffold122-572	scaffold_122	1	1389074
