chrom	start	end	nSites	recombRate
b'Chromosome_Z_RagTag'	0	53000	178	4.042590540715959e-09
b'Chromosome_Z_RagTag'	53000	106000	112	3.736307965882219e-09
b'Chromosome_Z_RagTag'	106000	159000	794	4.921999823217886e-09
b'Chromosome_Z_RagTag'	159000	212000	1262	4.8828993014087076e-09
b'Chromosome_Z_RagTag'	212000	265000	1231	4.388019615307096e-09
b'Chromosome_Z_RagTag'	265000	318000	1754	5.354054011644223e-09
b'Chromosome_Z_RagTag'	318000	371000	1637	5.9963832047516804e-09
b'Chromosome_Z_RagTag'	371000	424000	1499	5.571660903430346e-09
b'Chromosome_Z_RagTag'	424000	477000	1026	2.517850792484159e-09
b'Chromosome_Z_RagTag'	477000	530000	1162	5.1742905170985285e-09
b'Chromosome_Z_RagTag'	530000	583000	1050	4.66394947530986e-09
b'Chromosome_Z_RagTag'	583000	636000	943	4.102618593459568e-09
b'Chromosome_Z_RagTag'	636000	689000	685	4.819224098155701e-09
b'Chromosome_Z_RagTag'	689000	742000	566	1.0688553407172941e-09
b'Chromosome_Z_RagTag'	742000	795000	73	4.436590203758033e-10
b'Chromosome_Z_RagTag'	1113000	1166000	404	5.00514828317686e-09
b'Chromosome_Z_RagTag'	1166000	1219000	712	4.9453813237176055e-09
b'Chromosome_Z_RagTag'	1219000	1272000	717	3.910514924919842e-09
b'Chromosome_Z_RagTag'	1272000	1325000	603	4.124941301002641e-09
b'Chromosome_Z_RagTag'	1325000	1378000	587	4.9895002972064215e-09
b'Chromosome_Z_RagTag'	1378000	1431000	760	4.9406632061418785e-09
b'Chromosome_Z_RagTag'	1431000	1484000	697	5.077500789947628e-09
b'Chromosome_Z_RagTag'	1484000	1537000	688	5.297232241166178e-09
b'Chromosome_Z_RagTag'	1537000	1590000	722	5.412131488348145e-09
b'Chromosome_Z_RagTag'	1590000	1643000	549	5.442402825756633e-09
b'Chromosome_Z_RagTag'	1643000	1696000	566	4.442773678262977e-09
b'Chromosome_Z_RagTag'	1696000	1749000	503	5.456640860713473e-09
b'Chromosome_Z_RagTag'	1749000	1802000	557	5.722705200454431e-09
b'Chromosome_Z_RagTag'	1802000	1855000	429	5.93110586502543e-09
b'Chromosome_Z_RagTag'	1855000	1908000	450	5.3183073979549105e-09
b'Chromosome_Z_RagTag'	1908000	1961000	1437	1.7884845751313751e-09
b'Chromosome_Z_RagTag'	1961000	2014000	1369	3.2284646535492774e-10
b'Chromosome_Z_RagTag'	2014000	2067000	1539	5.095259861093177e-09
b'Chromosome_Z_RagTag'	2067000	2120000	1427	5.1935929816832245e-09
b'Chromosome_Z_RagTag'	2120000	2173000	551	4.596914808760724e-09
b'Chromosome_Z_RagTag'	2173000	2226000	607	5.685019357468437e-09
b'Chromosome_Z_RagTag'	2226000	2279000	537	5.39007093784658e-09
b'Chromosome_Z_RagTag'	2279000	2332000	429	5.7208637186209274e-09
b'Chromosome_Z_RagTag'	2332000	2385000	355	5.280896004315348e-09
b'Chromosome_Z_RagTag'	2385000	2438000	601	5.278967885371192e-09
b'Chromosome_Z_RagTag'	2438000	2491000	543	5.566624604269523e-09
b'Chromosome_Z_RagTag'	2491000	2544000	525	4.865674590941546e-09
b'Chromosome_Z_RagTag'	2544000	2597000	575	4.899161193453808e-09
b'Chromosome_Z_RagTag'	2597000	2650000	646	5.3405587155732454e-09
b'Chromosome_Z_RagTag'	2650000	2703000	455	5.379275575634571e-09
b'Chromosome_Z_RagTag'	2703000	2756000	433	5.20907383958482e-09
b'Chromosome_Z_RagTag'	2756000	2809000	487	5.364867103142177e-09
b'Chromosome_Z_RagTag'	2809000	2862000	502	5.411797232210458e-09
b'Chromosome_Z_RagTag'	2862000	2915000	455	4.007371077795417e-09
b'Chromosome_Z_RagTag'	2915000	2968000	520	4.685367516488772e-09
b'Chromosome_Z_RagTag'	2968000	3021000	517	5.331147656007835e-09
b'Chromosome_Z_RagTag'	3021000	3074000	435	5.2775384321430535e-09
b'Chromosome_Z_RagTag'	3074000	3127000	391	5.763523926462176e-09
b'Chromosome_Z_RagTag'	3127000	3180000	436	5.051369595393054e-09
b'Chromosome_Z_RagTag'	3180000	3233000	467	5.198706816921247e-09
b'Chromosome_Z_RagTag'	3233000	3286000	333	3.74225986446687e-09
b'Chromosome_Z_RagTag'	3286000	3339000	466	4.79400040665104e-09
b'Chromosome_Z_RagTag'	3339000	3392000	378	5.425668389143473e-09
b'Chromosome_Z_RagTag'	3392000	3445000	421	5.911719009039635e-09
b'Chromosome_Z_RagTag'	3445000	3498000	352	5.2765142703916214e-09
b'Chromosome_Z_RagTag'	3498000	3551000	355	5.687949417458974e-09
b'Chromosome_Z_RagTag'	3551000	3604000	415	5.496237684333876e-09
b'Chromosome_Z_RagTag'	3604000	3657000	323	4.652033031249919e-09
b'Chromosome_Z_RagTag'	3657000	3710000	303	5.46677113831206e-09
b'Chromosome_Z_RagTag'	3710000	3763000	349	5.416959645691971e-09
b'Chromosome_Z_RagTag'	3763000	3816000	350	5.2522041098940944e-09
b'Chromosome_Z_RagTag'	3816000	3869000	264	4.696229777206414e-09
b'Chromosome_Z_RagTag'	3869000	3922000	346	5.1920655446014286e-09
b'Chromosome_Z_RagTag'	3922000	3975000	314	3.952537292150402e-09
b'Chromosome_Z_RagTag'	3975000	4028000	372	3.545459988793965e-09
b'Chromosome_Z_RagTag'	4028000	4081000	437	4.957025800531148e-09
b'Chromosome_Z_RagTag'	4081000	4134000	318	4.925982411817368e-09
b'Chromosome_Z_RagTag'	4134000	4187000	336	1.064616859424004e-09
b'Chromosome_Z_RagTag'	4187000	4240000	431	5.1163781591443765e-09
b'Chromosome_Z_RagTag'	4240000	4293000	497	9.833718156041024e-10
b'Chromosome_Z_RagTag'	4293000	4346000	412	4.808870076968487e-09
b'Chromosome_Z_RagTag'	4346000	4399000	329	5.19877052415541e-09
b'Chromosome_Z_RagTag'	4399000	4452000	363	3.1513757994841084e-09
b'Chromosome_Z_RagTag'	4452000	4505000	376	4.469403302143089e-09
b'Chromosome_Z_RagTag'	4505000	4558000	361	4.892855122833593e-09
b'Chromosome_Z_RagTag'	4558000	4611000	383	5.0553231079635854e-09
b'Chromosome_Z_RagTag'	4611000	4664000	329	3.5318242176806816e-09
b'Chromosome_Z_RagTag'	4664000	4717000	346	4.731286130696261e-09
b'Chromosome_Z_RagTag'	4717000	4770000	374	4.729958088983729e-09
b'Chromosome_Z_RagTag'	4770000	4823000	374	4.994145606514533e-09
b'Chromosome_Z_RagTag'	4823000	4876000	387	4.303398915443236e-09
b'Chromosome_Z_RagTag'	4876000	4929000	309	4.6790912310689445e-09
b'Chromosome_Z_RagTag'	4929000	4982000	393	4.399290004187196e-09
b'Chromosome_Z_RagTag'	4982000	5035000	329	3.743796520777357e-09
b'Chromosome_Z_RagTag'	5035000	5088000	340	4.2663147453246e-09
b'Chromosome_Z_RagTag'	5088000	5141000	262	4.563780546257812e-09
b'Chromosome_Z_RagTag'	5141000	5194000	255	3.6338199132588997e-09
b'Chromosome_Z_RagTag'	5194000	5247000	252	3.926242456286555e-09
b'Chromosome_Z_RagTag'	5247000	5300000	347	5.104277330510605e-09
b'Chromosome_Z_RagTag'	5300000	5353000	298	5.332192147340484e-09
b'Chromosome_Z_RagTag'	5353000	5406000	232	5.226844730254333e-09
b'Chromosome_Z_RagTag'	5406000	5459000	223	1.8146253435003594e-09
b'Chromosome_Z_RagTag'	5459000	5512000	256	4.797281506503292e-09
b'Chromosome_Z_RagTag'	5512000	5565000	229	2.8013288368804555e-09
b'Chromosome_Z_RagTag'	5565000	5618000	231	5.2568524922784366e-09
b'Chromosome_Z_RagTag'	5618000	5671000	207	1.1505854578006553e-09
b'Chromosome_Z_RagTag'	5671000	5724000	198	2.8080134554073686e-10
b'Chromosome_Z_RagTag'	5724000	5777000	238	3.5590717662736022e-09
b'Chromosome_Z_RagTag'	5777000	5830000	269	5.497530740255477e-09
b'Chromosome_Z_RagTag'	5830000	5883000	233	3.6261545382852694e-09
b'Chromosome_Z_RagTag'	5883000	5936000	305	1.7028756448689313e-09
b'Chromosome_Z_RagTag'	5936000	5989000	271	3.5753023809034145e-09
b'Chromosome_Z_RagTag'	5989000	6042000	176	2.0047325762474206e-09
b'Chromosome_Z_RagTag'	6042000	6095000	240	4.732287480766444e-09
b'Chromosome_Z_RagTag'	6095000	6148000	231	2.6952685843040695e-09
b'Chromosome_Z_RagTag'	6148000	6201000	147	1.890742841434441e-09
b'Chromosome_Z_RagTag'	6201000	6254000	167	3.728182575035932e-09
b'Chromosome_Z_RagTag'	6254000	6307000	171	1.520874005265519e-09
b'Chromosome_Z_RagTag'	6307000	6360000	164	4.220796222003273e-09
b'Chromosome_Z_RagTag'	6360000	6413000	194	1.6626293384067369e-09
b'Chromosome_Z_RagTag'	6413000	6466000	192	2.273342250473906e-09
b'Chromosome_Z_RagTag'	6466000	6519000	344	4.096492711482175e-09
b'Chromosome_Z_RagTag'	6519000	6572000	110	8.433565527807823e-10
b'Chromosome_Z_RagTag'	6572000	6625000	122	7.546162760347042e-10
b'Chromosome_Z_RagTag'	6625000	6678000	141	1.718186301625454e-09
b'Chromosome_Z_RagTag'	6678000	6731000	173	4.380830330758713e-09
b'Chromosome_Z_RagTag'	6731000	6784000	149	1.896342459107361e-09
b'Chromosome_Z_RagTag'	6784000	6837000	190	3.842970009521204e-09
b'Chromosome_Z_RagTag'	6837000	6890000	169	2.0298149062454787e-09
b'Chromosome_Z_RagTag'	6890000	6943000	150	9.08633183335596e-10
b'Chromosome_Z_RagTag'	6943000	6996000	139	3.4009160162664326e-09
b'Chromosome_Z_RagTag'	6996000	7049000	153	2.696301374307995e-09
b'Chromosome_Z_RagTag'	7049000	7102000	152	7.367089880586529e-10
b'Chromosome_Z_RagTag'	7102000	7155000	285	2.7999755013866416e-09
b'Chromosome_Z_RagTag'	7155000	7208000	185	3.2598331844899248e-09
b'Chromosome_Z_RagTag'	7208000	7261000	185	4.098440982714689e-09
b'Chromosome_Z_RagTag'	7261000	7314000	194	2.7012354345865335e-09
b'Chromosome_Z_RagTag'	7314000	7367000	202	3.83906897563707e-09
b'Chromosome_Z_RagTag'	7367000	7420000	206	3.0099518266972056e-09
b'Chromosome_Z_RagTag'	7420000	7473000	243	1.8528151709881547e-09
b'Chromosome_Z_RagTag'	7473000	7526000	254	3.8883404933048894e-09
b'Chromosome_Z_RagTag'	7526000	7579000	159	1.7230976684179829e-09
b'Chromosome_Z_RagTag'	7579000	7632000	270	5.0397006521649075e-09
b'Chromosome_Z_RagTag'	7632000	7685000	282	3.969112046994816e-09
b'Chromosome_Z_RagTag'	7685000	7738000	333	4.331597581129494e-09
b'Chromosome_Z_RagTag'	7738000	7791000	266	3.4035433117634437e-09
b'Chromosome_Z_RagTag'	7791000	7844000	317	4.485615788578022e-09
b'Chromosome_Z_RagTag'	7844000	7897000	243	0
b'Chromosome_Z_RagTag'	7897000	7950000	259	9.120660458755378e-10
b'Chromosome_Z_RagTag'	7950000	8003000	320	4.203089274958402e-09
b'Chromosome_Z_RagTag'	8003000	8056000	393	4.774931377664622e-09
b'Chromosome_Z_RagTag'	8056000	8109000	466	4.146150609388359e-09
b'Chromosome_Z_RagTag'	8109000	8162000	606	4.514287708003777e-09
b'Chromosome_Z_RagTag'	8162000	8215000	422	5.2580079689411025e-09
b'Chromosome_Z_RagTag'	8215000	8268000	338	4.780650490724813e-09
b'Chromosome_Z_RagTag'	8268000	8321000	212	5.20738305668185e-09
b'Chromosome_Z_RagTag'	8321000	8374000	229	5.1666475401228085e-09
b'Chromosome_Z_RagTag'	8374000	8427000	346	5.651695155215432e-09
b'Chromosome_Z_RagTag'	8427000	8480000	340	4.542679741102078e-09
b'Chromosome_Z_RagTag'	8480000	8533000	375	4.747235514527768e-09
b'Chromosome_Z_RagTag'	8533000	8586000	392	4.830873420974069e-09
b'Chromosome_Z_RagTag'	8586000	8639000	398	4.453489849664431e-09
b'Chromosome_Z_RagTag'	8639000	8692000	324	3.0506011789265533e-09
b'Chromosome_Z_RagTag'	8692000	8745000	307	5.279823264320426e-09
b'Chromosome_Z_RagTag'	8745000	8798000	290	4.696353409427071e-09
b'Chromosome_Z_RagTag'	8798000	8851000	372	4.407493285696402e-09
b'Chromosome_Z_RagTag'	8851000	8904000	365	5.240001396963759e-09
b'Chromosome_Z_RagTag'	8904000	8957000	316	5.547962285102688e-09
b'Chromosome_Z_RagTag'	8957000	9010000	262	5.374469402605317e-09
b'Chromosome_Z_RagTag'	9010000	9063000	275	4.5718837754966675e-09
b'Chromosome_Z_RagTag'	9063000	9116000	337	5.052977050652082e-09
b'Chromosome_Z_RagTag'	9116000	9169000	344	4.297794983644069e-09
b'Chromosome_Z_RagTag'	9169000	9222000	416	5.1189245573870605e-09
b'Chromosome_Z_RagTag'	9222000	9275000	361	4.830867511212087e-09
b'Chromosome_Z_RagTag'	9275000	9328000	323	5.292192514343407e-09
b'Chromosome_Z_RagTag'	9328000	9381000	302	3.9749010134416294e-09
b'Chromosome_Z_RagTag'	9381000	9434000	316	5.368188389375905e-09
b'Chromosome_Z_RagTag'	9434000	9487000	298	5.4050302001556696e-09
b'Chromosome_Z_RagTag'	9487000	9540000	323	3.932955177628732e-09
b'Chromosome_Z_RagTag'	9540000	9593000	333	4.912856475870248e-09
b'Chromosome_Z_RagTag'	9593000	9646000	457	4.989525590987703e-09
b'Chromosome_Z_RagTag'	9646000	9699000	303	5.211386565838747e-09
b'Chromosome_Z_RagTag'	9699000	9752000	379	5.2411157416830316e-09
