chrom	start	end	nSites	recombRate
b'Chromosome_1_RagTag'	448000	480000	219	1.2407580076027774e-09
b'Chromosome_1_RagTag'	480000	512000	344	1.3810503037639075e-09
b'Chromosome_1_RagTag'	512000	544000	723	5.496150931870068e-09
b'Chromosome_1_RagTag'	544000	576000	877	3.533428772734363e-09
b'Chromosome_1_RagTag'	576000	608000	662	5.6982586243424205e-09
b'Chromosome_1_RagTag'	608000	640000	832	6.10405812264979e-09
b'Chromosome_1_RagTag'	640000	672000	657	5.236712516077306e-09
b'Chromosome_1_RagTag'	672000	704000	812	6.379658396733176e-09
b'Chromosome_1_RagTag'	704000	736000	1025	5.963512910822617e-09
b'Chromosome_1_RagTag'	736000	768000	919	6.157600345358351e-09
b'Chromosome_1_RagTag'	768000	800000	1023	6.3650359216591975e-09
b'Chromosome_1_RagTag'	800000	832000	427	4.264328987231128e-09
b'Chromosome_1_RagTag'	864000	896000	93	1.201077609559598e-09
b'Chromosome_1_RagTag'	1024000	1056000	70	1.3475222042085235e-09
b'Chromosome_1_RagTag'	1088000	1120000	74	9.479161656403378e-10
b'Chromosome_1_RagTag'	1120000	1152000	116	1.5365377636238176e-09
b'Chromosome_1_RagTag'	1184000	1216000	111	2.223914839702392e-09
b'Chromosome_1_RagTag'	1216000	1248000	231	3.3094859509299726e-09
b'Chromosome_1_RagTag'	1248000	1280000	554	4.413257175652382e-09
b'Chromosome_1_RagTag'	1280000	1312000	98	1.820929414809997e-09
b'Chromosome_1_RagTag'	1344000	1376000	270	4.168846839808184e-09
b'Chromosome_1_RagTag'	1376000	1408000	120	2.5612299862316166e-09
b'Chromosome_1_RagTag'	1440000	1472000	313	3.1750845317250623e-09
b'Chromosome_1_RagTag'	1472000	1504000	401	2.1343897127494593e-09
b'Chromosome_1_RagTag'	1824000	1856000	50	1.2535948457307073e-09
b'Chromosome_1_RagTag'	1856000	1888000	74	1.1525387391945995e-09
b'Chromosome_1_RagTag'	1952000	1984000	485	4.129204272048072e-09
b'Chromosome_1_RagTag'	1984000	2016000	557	4.366936135373004e-09
b'Chromosome_1_RagTag'	2016000	2048000	572	6.082046846062219e-09
b'Chromosome_1_RagTag'	2048000	2080000	457	4.779755292526172e-09
b'Chromosome_1_RagTag'	2080000	2112000	554	5.573758686914658e-09
b'Chromosome_1_RagTag'	2112000	2144000	532	5.044067628750618e-09
b'Chromosome_1_RagTag'	2144000	2176000	849	6.255526531304818e-09
b'Chromosome_1_RagTag'	2176000	2208000	1100	6.441533274621549e-09
b'Chromosome_1_RagTag'	2208000	2240000	1007	6.359282863517234e-09
b'Chromosome_1_RagTag'	2240000	2272000	1184	6.399742470221081e-09
b'Chromosome_1_RagTag'	2272000	2304000	1249	6.427522032234365e-09
b'Chromosome_1_RagTag'	2304000	2336000	860	6.0829466833613465e-09
b'Chromosome_1_RagTag'	2336000	2368000	984	6.114210438237779e-09
b'Chromosome_1_RagTag'	2368000	2400000	960	6.375319572569535e-09
b'Chromosome_1_RagTag'	2400000	2432000	986	6.424584118175765e-09
b'Chromosome_1_RagTag'	2432000	2464000	1197	6.1961187113103246e-09
b'Chromosome_1_RagTag'	2464000	2496000	922	6.059093143366282e-09
b'Chromosome_1_RagTag'	2496000	2528000	885	5.812623376876414e-09
b'Chromosome_1_RagTag'	2528000	2560000	697	4.8191916971398815e-09
b'Chromosome_1_RagTag'	2560000	2592000	878	5.603186840320236e-09
b'Chromosome_1_RagTag'	2592000	2624000	909	5.992668876531155e-09
b'Chromosome_1_RagTag'	2624000	2656000	651	5.086013085251675e-09
b'Chromosome_1_RagTag'	2656000	2688000	603	5.1558314898421435e-09
b'Chromosome_1_RagTag'	2688000	2720000	701	5.166374242502546e-09
b'Chromosome_1_RagTag'	2720000	2752000	850	5.523335202259234e-09
b'Chromosome_1_RagTag'	2752000	2784000	811	5.328338175445719e-09
b'Chromosome_1_RagTag'	2784000	2816000	720	5.34059268893335e-09
b'Chromosome_1_RagTag'	2816000	2848000	615	5.374422835937502e-09
b'Chromosome_1_RagTag'	2848000	2880000	508	5.179840752606188e-09
b'Chromosome_1_RagTag'	2880000	2912000	583	2.3303470101444857e-09
b'Chromosome_1_RagTag'	2912000	2944000	544	2.906989553824118e-09
b'Chromosome_1_RagTag'	2944000	2976000	541	3.890669110023728e-09
b'Chromosome_1_RagTag'	2976000	3008000	473	3.4342891812020256e-09
b'Chromosome_1_RagTag'	3008000	3040000	676	4.837016065511852e-09
b'Chromosome_1_RagTag'	3040000	3072000	551	2.941919098818737e-09
b'Chromosome_1_RagTag'	3072000	3104000	428	7.548315904953553e-10
b'Chromosome_1_RagTag'	3104000	3136000	541	3.983564522619565e-09
b'Chromosome_1_RagTag'	3136000	3168000	443	2.208299379179469e-09
b'Chromosome_1_RagTag'	3168000	3200000	848	4.727496920178819e-09
b'Chromosome_1_RagTag'	3200000	3232000	626	2.0430793057399416e-09
b'Chromosome_1_RagTag'	3232000	3264000	469	1.7033043580692493e-09
b'Chromosome_1_RagTag'	3264000	3296000	427	1.8478262702183731e-09
b'Chromosome_1_RagTag'	3296000	3328000	538	3.8159614982362485e-09
b'Chromosome_1_RagTag'	3328000	3360000	514	1.4922346953308361e-09
b'Chromosome_1_RagTag'	3360000	3392000	523	1.7889330848293836e-09
b'Chromosome_1_RagTag'	3392000	3424000	540	4.22180727321064e-09
b'Chromosome_1_RagTag'	3424000	3456000	466	2.302850223548973e-09
b'Chromosome_1_RagTag'	3456000	3488000	357	1.9389196884344468e-09
b'Chromosome_1_RagTag'	3488000	3520000	388	1.1899902435788083e-09
b'Chromosome_1_RagTag'	3520000	3552000	512	2.3850639940017627e-09
b'Chromosome_1_RagTag'	3552000	3584000	621	2.275197595221327e-09
b'Chromosome_1_RagTag'	3584000	3616000	649	3.225882899020475e-09
b'Chromosome_1_RagTag'	3616000	3648000	642	3.767087062553757e-09
b'Chromosome_1_RagTag'	3648000	3680000	594	3.2866212772846343e-09
b'Chromosome_1_RagTag'	3680000	3712000	544	3.172407117233591e-09
b'Chromosome_1_RagTag'	3712000	3744000	487	2.243688300394419e-09
b'Chromosome_1_RagTag'	3744000	3776000	573	2.9095820583642076e-09
b'Chromosome_1_RagTag'	3776000	3808000	446	2.865579609962143e-09
b'Chromosome_1_RagTag'	3808000	3840000	469	1.7299246241438771e-09
b'Chromosome_1_RagTag'	3840000	3872000	473	2.936677106387648e-09
b'Chromosome_1_RagTag'	3872000	3904000	390	2.6789680579689498e-09
b'Chromosome_1_RagTag'	3904000	3936000	537	1.2006959757606023e-09
b'Chromosome_1_RagTag'	3936000	3968000	507	1.1093900893509484e-09
b'Chromosome_1_RagTag'	3968000	4000000	471	3.570074963480733e-09
b'Chromosome_1_RagTag'	4000000	4032000	555	9.156971366348743e-10
b'Chromosome_1_RagTag'	4032000	4064000	477	1.3243783983920137e-09
b'Chromosome_1_RagTag'	4064000	4096000	506	1.4816914668178161e-09
b'Chromosome_1_RagTag'	4096000	4128000	504	7.281581478907555e-10
b'Chromosome_1_RagTag'	4128000	4160000	482	6.297111412547619e-10
b'Chromosome_1_RagTag'	4160000	4192000	593	1.6827036276022175e-09
b'Chromosome_1_RagTag'	4192000	4224000	413	1.3573290507964244e-09
b'Chromosome_1_RagTag'	4224000	4256000	60	1.4980543728392077e-09
b'Chromosome_1_RagTag'	4288000	4320000	142	8.668009009543574e-10
