scaffold	length	original_order	sex_chrom_scaffolds
scaffold_1	42926112	287	
scaffold_2	30935055	318	
scaffold_3	30698497	315	
scaffold_4	28824243	305	
scaffold_5	24358102	312	
scaffold_6	23441397	313	
scaffold_7	22643589	294	
scaffold_8	22536472	317	
scaffold_9	20381534	304	
scaffold_10	18685812	283	
scaffold_11	18386557	356	
scaffold_12	17812915	326	
scaffold_13	17421130	290	
scaffold_14	16782041	279	
scaffold_15	16740363	301	
scaffold_16	16453842	297	
scaffold_17	16403571	322	
scaffold_18	15543845	472	
scaffold_19	15527317	350	
scaffold_20	15400748	330	
scaffold_21	15284589	311	
scaffold_22	15195932	298	
scaffold_23	14822672	289	
scaffold_24	14755900	349	
scaffold_25	14197989	340	
scaffold_26	14011638	354	
scaffold_27	13718337	360	
scaffold_28	13360489	316	
scaffold_29	13035591	359	
scaffold_30	12948050	334	
scaffold_31	12816728	308	x
scaffold_32	12650203	329	
scaffold_33	12609017	292	
scaffold_34	12588068	288	
scaffold_35	12489541	234	
scaffold_36	12330529	296	
scaffold_37	12301138	285	
scaffold_38	11762017	302	
scaffold_39	10926990	351	
scaffold_40	10892353	321	
scaffold_41	10828049	307	
scaffold_42	9983172	303	
scaffold_43	9707849	222	
scaffold_44	9240458	278	
scaffold_45	9120902	235	
scaffold_46	8248687	218	
scaffold_47	8242364	341	
scaffold_48	8181269	310	
scaffold_49	8010634	221	
scaffold_50	7980357	267	
scaffold_51	7907115	295	x
scaffold_52	7525541	300	
scaffold_53	7384243	299	
scaffold_54	7383832	227	x
scaffold_55	6939715	342	
scaffold_56	6813797	353	
scaffold_57	6549638	344	
scaffold_58	6465173	284	
scaffold_59	6346643	281	
scaffold_60	6029156	320	
scaffold_61	5964496	309	
scaffold_62	5936464	280	
scaffold_63	5905473	348	
scaffold_64	5780226	424	
scaffold_65	5494660	355	
scaffold_66	4880380	209	x
scaffold_67	4809623	358	x
scaffold_68	4768863	347	
scaffold_69	4745499	346	
scaffold_70	4608504	271	
scaffold_71	4574394	332	x
scaffold_72	4558048	259	
scaffold_73	4546986	228	
scaffold_74	4531016	237	
scaffold_75	4297846	231	
scaffold_76	4261231	343	
scaffold_77	4206194	219	
scaffold_78	4161199	336	
scaffold_79	4011640	291	
scaffold_80	3989009	223	
scaffold_81	3951375	357	
scaffold_82	3625919	314	
scaffold_83	3460103	203	
scaffold_84	3454341	210	
scaffold_85	3255222	286	
scaffold_86	3223155	328	
scaffold_87	3217240	282	x
scaffold_88	3201262	215	x
scaffold_89	3193563	238	
scaffold_90	3107911	325	
scaffold_91	2927971	226	
scaffold_92	2878171	268	
scaffold_93	2754821	335	
scaffold_94	2658498	345	
scaffold_95	2633202	204	
scaffold_96	2603350	273	
scaffold_97	2594747	205	
scaffold_98	2573575	230	
scaffold_99	2475332	339	
scaffold_100	2446770	333	
scaffold_101	2354958	264	
scaffold_102	2272641	236	
scaffold_103	2120321	244	x
scaffold_104	2115828	216	x
scaffold_105	2092859	262	x
scaffold_106	1958085	211	
scaffold_107	1931791	331	x
scaffold_108	1850181	272	x
scaffold_109	1807944	220	
scaffold_110	1805944	266	
scaffold_111	1710276	208	x
scaffold_112	1678307	256	
scaffold_113	1677491	431	x
scaffold_114	1659641	217	
scaffold_115	1647773	443	
scaffold_116	1608002	199	
scaffold_117	1604794	263	
scaffold_118	1551069	212	
scaffold_119	1550773	306	
scaffold_120	1530962	439	
scaffold_121	1495340	361	
scaffold_122	1389074	202	
scaffold_123	1383890	258	
scaffold_124	1361607	276	x
scaffold_125	1355968	224	x
scaffold_126	1347162	260	x
scaffold_127	1291502	246	
scaffold_128	1266919	447	
scaffold_129	1232022	270	
scaffold_130	1204652	411	
scaffold_131	1189807	437	
scaffold_132	1177617	243	
scaffold_133	1173691	465	
scaffold_134	1168459	242	
scaffold_135	1134679	241	
scaffold_136	1134468	429	
scaffold_137	1130705	277	x
scaffold_138	1115943	214	x
scaffold_139	1086750	247	
scaffold_140	1030899	269	
scaffold_141	1021028	252	
scaffold_142	1016810	327	
scaffold_143	1016229	427	
scaffold_144	947926	233	x
scaffold_145	935395	245	
scaffold_146	919190	440	
scaffold_147	918490	254	
scaffold_148	830462	434	
scaffold_149	825170	319	
scaffold_150	780310	261	x
scaffold_151	707628	250	
scaffold_152	701540	445	
scaffold_153	692365	248	
scaffold_154	671915	467	
scaffold_155	666923	409	
scaffold_156	650349	417	
scaffold_157	637980	337	
scaffold_158	636341	275	
scaffold_159	623755	455	
scaffold_160	614899	466	x
scaffold_161	593714	468	
scaffold_162	590273	338	x
scaffold_163	566348	200	
scaffold_164	562164	207	
scaffold_165	526952	213	
scaffold_166	522245	475	
scaffold_167	517456	473	
scaffold_168	517159	265	
scaffold_169	512014	201	x
scaffold_170	495114	442	
scaffold_171	494497	324	
scaffold_172	489840	251	
scaffold_173	465949	436	
scaffold_174	453075	373	
scaffold_175	447659	469	
scaffold_176	447106	232	
scaffold_177	433485	293	
scaffold_178	433189	441	
scaffold_179	422375	274	
scaffold_180	402760	229	
scaffold_181	396749	474	
scaffold_182	386085	225	
scaffold_183	371982	470	
scaffold_184	343013	418	
scaffold_185	337553	385	
scaffold_186	334649	381	
scaffold_187	328134	428	
scaffold_188	323820	450	x
scaffold_189	322446	444	
scaffold_190	279529	456	
scaffold_191	277939	416	
scaffold_192	264112	476	
scaffold_193	259319	410	
scaffold_194	255921	451	
scaffold_195	232053	448	x
scaffold_196	230297	63	
scaffold_197	227324	65	
scaffold_198	221238	432	
scaffold_199	218184	239	
scaffold_200	217650	240	x
scaffold_201	216936	421	
scaffold_202	212968	438	
scaffold_203	211855	386	
scaffold_204	205961	175	
scaffold_205	199475	253	
scaffold_206	193490	413	
scaffold_207	191681	78	
scaffold_208	189885	471	x
scaffold_209	188476	412	
scaffold_210	186346	255	
scaffold_211	179984	415	
scaffold_212	179616	399	
scaffold_213	176332	414	
scaffold_214	173973	398	
scaffold_215	171445	206	
scaffold_216	171236	56	
scaffold_217	166226	68	
scaffold_218	162657	422	
scaffold_219	158132	425	
scaffold_220	157501	26	
scaffold_221	153738	84	
scaffold_222	142391	64	
scaffold_223	139498	452	
scaffold_224	135201	59	
scaffold_225	134369	372	
scaffold_226	134224	155	
scaffold_227	133561	404	
scaffold_228	128280	405	
scaffold_229	127713	71	
scaffold_230	126207	57	
scaffold_231	121951	449	
scaffold_232	118528	453	
scaffold_233	118504	408	
scaffold_234	109787	393	
scaffold_235	109751	257	
scaffold_236	107996	188	
scaffold_237	107710	402	
scaffold_238	105035	171	
scaffold_239	104903	477	
scaffold_240	103953	55	
scaffold_241	100119	435	
scaffold_242	99868	391	
scaffold_243	99216	22	
scaffold_244	99102	126	
scaffold_245	97117	426	
scaffold_246	97029	76	
scaffold_247	96590	164	
scaffold_248	94117	193	
scaffold_249	93740	392	
scaffold_250	93357	366	
scaffold_251	93313	369	
scaffold_252	92040	380	
scaffold_253	91896	139	
scaffold_254	90432	62	
scaffold_255	89379	17	
