chrom	start	end	avg_depth_from_bam_files	recombination_rate_50site_minimum	recombination_rate_200site_minimum	U20_bel_popA	U50_bel_popA	Q95_bel_popA	informative_sites_bel_popA	U20_bel_popB	U50_bel_popB	Q95_bel_popB	informative_sites_bel_popB	mid_position	sites_summ_stats	pi_belem	pi_tapajos	pi_xingu	dxy_tapajos_belem	dxy_xingu_belem	dxy_tapajos_xingu	Fst_tapajos_belem	Fst_xingu_belem	Fst_tapajos_xingu	Tapajos_enrichment	Xingu_enrichment	Belem_enrichment	Tapajos_RTH	Xingu_RTH	Xingu_RTH_inverse	Belem_RTH	Belem_RTH_inverse	Xingu_Belem_RTH	Tapajos_Xingu_RTH	Tapajos_Xingu_RTH_inverse	TMRCAH_Xin_Bel	TMRCAH_Tap_Xin	Tapajos_Xingu_JCR	row_id
Chromosome_1_RagTag	3770000	3780000	14.36181818	2.89e-9	2.89e-9	0	0	0	0	0	0	0	0	3775000	243	0.0655	0.1842	0.1455	0.2157	0.1497	0.1862	0.2717	0.1671	0.0618	4.498	2.343	5.295	0.766	0.867	1.153402537	0.464	2.155172414	0.796	0.893	1.119820829	141573.344	137454.665	1.029963908	269
Chromosome_1_RagTag	7700000	7710000	14.33909091	7.27e-10	7.27e-10	0	0	0	0	0	0	0	0	7705000	210	0.1172	0.134	0.1302	0.1701	0.1672	0.1559	0.1538	0.1494	0.0833	4.25	3.223	5.81	0.929	0.95	1.052631579	0.731	1.367989056	1.393	1.442	0.693481276	164347.558	174134.19	0.943798332	654
Chromosome_1_RagTag	19870000	19880000	14.60121212	7.77e-10	7.77e-10	0	0	0	0	0	0	0	0	19875000	211	0.0682	0.1035	0.0516	0.1	0.0812	0.0901	0.0777	0.154	0.0783	3.65	6.781	5.32	1.115	0.97	1.030927835	0.474	2.109704641	1	1	1	98030.145	98030.145	1	1870
Chromosome_1_RagTag	28570000	28580000	13.86878788	6.14e-10	6.14e-10	0	0	0	0	0	0	0	0	28575000	203	0.0577	0.1315	0.1113	0.1159	0.1267	0.1325	0.1037	0.1943	0.0444	2.13	4.618	8.717	0.99	0.751	1.331557923	0.256	3.90625	0.996	1.015	0.985221675	191197.06	195471.73	0.978131518	2547
Chromosome_1_RagTag	30730000	30740000	13.84848485	9.65e-10	9.65e-10	0	0	0	0	0	0	0	0	30735000	194	0.1053	0.1402	0.1359	0.1699	0.165	0.1383	0.1644	0.1539	9e-4	1.434	2.073	5.484	0.91	0.875	1.142857143	0.664	1.506024096	1.985	0.945	1.058201058	158986.29	104107.383	1.527137513	2763
Chromosome_1_RagTag	32690000	32700000	14.09030303	8.97e-10	8.97e-10	0	0	0	0	0	0	0	0	32695000	183	0.0728	0.1013	0.0873	0.1345	0.1106	0.1	0.2185	0.1593	0.0297	4.28	2.346	3.634	1	1	1	0.986	1.014198783	1	1	1	104873.1	104873.1	1	2959
Chromosome_1_RagTag	37440000	37450000	13.52333333	7.92e-10	7.92e-10	0	0	0	0	0	0	0	0	37445000	234	0.0523	0.1448	0.1477	0.241	0.151	0.1718	0.4258	0.1946	0.0805	5.872	3.207	9.521	0.95	1.051	0.951474786	0.333	3.003003003	1.398	1.153	0.867302689	161104.228	124222.956	1.296895785	3434
Chromosome_1_RagTag	38620000	38630000	13.62515152	1.19e-9	1.19e-9	0	0	0	0	0	0	0	0	38625000	231	0.2085	0.0738	0.1236	0.2245	0.2417	0.149	0.2323	0.1914	0.1985	9.043	5.638	5.725	0.415	0.718	1.39275766	0.427	2.341920375	1.066	0.917	1.090512541	161310.18	149205.161	1.081130029	3552
Chromosome_1_RagTag	42600000	42610000	13.65151515	2.05e-9	2.05e-9	0	0	0	0	0	0	0	0	42605000	228	0.1246	0.1583	0.082	0.1549	0.1425	0.1586	0.0466	0.1642	0.1437	2.554	5.186	3.559	1.587	0.538	1.858736059	1.063	0.940733772	0.844	1.085	0.921658986	86978.4	115007.358	0.756285524	3950
Chromosome_1_RagTag	42610000	42620000	13.68212121	2.05e-9	2.05e-9	0	0	0	0	0	0	0	0	42615000	202	0.0887	0.1431	0.1072	0.1517	0.1461	0.1528	0.1365	0.1959	0.1014	2.743	6.559	5.165	1.663	0.318	3.144654088	0.056	17.85714286	0.867	1.546	0.64683053	116012.949	169898.012	0.682838767	3951
Chromosome_1_RagTag	42620000	42630000	13.39454545	1.31e-9	1.31e-9	0	0	0	0	0	0	0	0	42625000	210	0.1744	0.2488	0.1689	0.2485	0.2632	0.2317	0.0822	0.2117	0.0534	3.114	5.664	4.722	1.098	0.622	1.607717042	0.042	23.80952381	1	0.769	1.300390117	174588.05	111135.454	1.570948277	3952
Chromosome_1_RagTag	42630000	42640000	13.25969697	8.23e-10	8.23e-10	0	0	0	0	0	0	0	0	42635000	270	0.1465	0.1926	0.1599	0.1865	0.2085	0.2111	0.0488	0.1529	0.0914	3.37	5.238	4.431	0.973	0.503	1.988071571	0.102	9.803921569	0.809	0.764	1.308900524	197649.778	169991.266	1.162705489	3953
Chromosome_1_RagTag	53850000	53860000	14.32575758	1.1e-9	1.1e-9	0	0	0	0	0	0	0	0	53855000	247	0.0472	0.1568	0.1029	0.139	0.1056	0.1376	0.1568	0.1633	0.0296	2.318	3.139	8.86	1.062	1.023	0.977517107	0.318	3.144654088	0.948	1.023	0.977517107	98030.145	104873.1	0.934750141	5071
Chromosome_1_RagTag	53870000	53880000	13.87666667	5.98e-10	5.98e-10	0	0	0	0	0	0	0	0	53875000	213	0.0388	0.1087	0.1073	0.1185	0.109	0.108	0.2369	0.1888	0	2.067	2.838	11.529	1	1	1	0.319	3.134796238	1.088	1	1	114091.831	104873.1	1.087903676	5073
